slide,split,model,seed,gene,pearson,spearman,rmse
Section_2,dataset_heldout,mean,0,ADD3,,,0.2992369830608368
Section_2,dataset_heldout,mean,0,MIA,,,0.12025415897369385
Section_2,dataset_heldout,mean,0,LTF,,,0.7346525192260742
Section_2,dataset_heldout,mean,0,CST7,0.0,,0.2626745104789734
Section_2,dataset_heldout,mean,0,TNF,0.0,,0.15775443613529205
Section_2,dataset_heldout,mean,0,NEXN,,,0.127618208527565
Section_2,dataset_heldout,mean,0,HBB,0.0,,0.1962292492389679
Section_2,dataset_heldout,mean,0,SP140L,,,0.2709018588066101
Section_2,dataset_heldout,mean,0,CDKN1C,,,0.22982284426689148
Section_2,dataset_heldout,mean,0,ITGB1,,,1.0383727550506592
Section_2,dataset_heldout,mean,0,CLDN11,,,0.14797797799110413
Section_2,dataset_heldout,mean,0,STC2,,,0.8542688488960266
Section_2,dataset_heldout,mean,0,UGT8,,,0.02342125028371811
Section_2,dataset_heldout,mean,0,SOX6,,,0.05502142384648323
Section_2,dataset_heldout,mean,0,PDLIM4,0.0,,0.2041577249765396
Section_2,dataset_heldout,mean,0,TLR7,0.0,,0.13794027268886566
Section_2,dataset_heldout,mean,0,EBF1,0.0,,0.14193573594093323
Section_2,dataset_heldout,mean,0,FMO2,0.0,,0.12772871553897858
Section_2,dataset_heldout,mean,0,RELN,,,0.048381559550762177
Section_2,dataset_heldout,mean,0,VTI1A,0.0,,0.2306642383337021
Section_1,dataset_heldout,pca_ridge,0,PTGDS,0.4499585383328514,0.3267990211056026,0.46261751651763916
Section_1,dataset_heldout,pca_ridge,0,CD74,0.773758958572322,0.7877075274189291,0.8272000551223755
Section_1,dataset_heldout,pca_ridge,0,CCL19,0.5313071709616457,0.4049194458890763,0.5538316965103149
Section_1,dataset_heldout,pca_ridge,0,COL3A1,0.5856544891903567,0.6002218258140214,0.5809336304664612
Section_1,dataset_heldout,pca_ridge,0,CXCL14,0.0518966491392016,0.13592345897848043,1.517662525177002
Section_1,dataset_heldout,pca_ridge,0,ADH1B,0.2269365219778345,0.10681926608717342,0.27304208278656006
Section_1,dataset_heldout,pca_ridge,0,TFF3,0.018983097412859504,-0.01945185585282381,1.5202839374542236
Section_1,dataset_heldout,pca_ridge,0,POSTN,0.47774552458430875,0.4897755376302239,0.5719774961471558
Section_1,dataset_heldout,pca_ridge,0,AQP1,0.47056690109671306,0.2878391556005406,0.5165570974349976
Section_1,dataset_heldout,pca_ridge,0,ISG15,0.44275466406889535,0.4262099270752118,1.0702391862869263
Section_1,dataset_heldout,pca_ridge,0,FDCSP,0.13626891495432172,0.058504263734335815,0.107109934091568
Section_1,dataset_heldout,pca_ridge,0,CFD,0.28221903185067565,0.16783338027868833,0.4749770760536194
Section_1,dataset_heldout,pca_ridge,0,FABP4,0.1896748110570629,0.07315988492041671,0.2770695984363556
Section_1,dataset_heldout,pca_ridge,0,ADIRF,-0.0040932624229395986,-0.029690349101085655,1.8719247579574585
Section_1,dataset_heldout,pca_ridge,0,CCL21,0.2861299827369672,0.1891285952535028,0.4464733898639679
Section_1,dataset_heldout,pca_ridge,0,CD3D,0.3863955410749042,0.27608475374638136,0.2894676923751831
Section_1,dataset_heldout,pca_ridge,0,CLDN5,0.3920532615430409,0.2446378388996655,0.3741980195045471
Section_1,dataset_heldout,pca_ridge,0,IFIT2,0.20325280900735046,0.2660203486015859,0.3512599766254425
Section_1,dataset_heldout,pca_ridge,0,PTN,0.04150167862271965,0.008833611828830393,0.16135892271995544
Section_1,dataset_heldout,pca_ridge,0,S100B,0.0948172598113612,0.07505100039302125,0.13276813924312592
Section_1,dataset_heldout,pca_ridge,0,ACTG2,0.089763859138321,0.047315990908415484,0.10663417726755142
Section_1,dataset_heldout,pca_ridge,0,FOS,0.31084618903507394,0.25235283410419956,0.559965193271637
Section_1,dataset_heldout,pca_ridge,0,ELN,0.374326360296542,0.26747475755024397,0.4227001368999481
Section_1,dataset_heldout,pca_ridge,0,NRP1,0.15511194220887814,0.20064971201688103,0.35162416100502014
Section_1,dataset_heldout,pca_ridge,0,MS4A4A,0.26138526527066686,0.23310672131179536,0.3141598701477051
Section_1,dataset_heldout,pca_ridge,0,LMOD1,0.18179301830572547,0.0912228001622008,0.16549362242221832
Section_1,dataset_heldout,pca_ridge,0,HBA2,0.08003220896028373,0.05026165366755346,0.20638611912727356
Section_1,dataset_heldout,pca_ridge,0,PPP1R14A,0.23954057647162694,0.11208176845809313,0.22985966503620148
Section_1,dataset_heldout,pca_ridge,0,SLITRK6,0.1519089760577101,0.17759730360142603,0.5590795278549194
Section_1,dataset_heldout,pca_ridge,0,ADD3,0.03969943193322445,0.08879396413550641,0.35251733660697937
Section_1,dataset_heldout,pca_ridge,0,MIA,0.046208270896021184,0.050168755473526776,0.13381952047348022
Section_1,dataset_heldout,pca_ridge,0,LTF,0.05474327350860561,0.01721877197163596,0.6122313141822815
Section_1,dataset_heldout,pca_ridge,0,CST7,0.3109888824899122,0.23376797431705362,0.24112054705619812
Section_1,dataset_heldout,pca_ridge,0,TNF,0.03360904556586979,0.04495525728927659,0.1625790148973465
Section_1,dataset_heldout,pca_ridge,0,NEXN,0.14312499250216662,0.1042371678091874,0.17145833373069763
Section_1,dataset_heldout,pca_ridge,0,HBB,0.02376845382461826,-0.026237168724053055,0.1876104772090912
Section_1,dataset_heldout,pca_ridge,0,SP140L,0.037244903666931645,0.10737332784407425,0.2809489369392395
Section_1,dataset_heldout,pca_ridge,0,CDKN1C,0.12448419477206168,0.04278436695536926,0.27616578340530396
Section_1,dataset_heldout,pca_ridge,0,ITGB1,0.23911013326694425,0.17566425073887523,1.01679265499115
Section_1,dataset_heldout,pca_ridge,0,CLDN11,0.14061592706919035,0.05479109495052463,0.16797374188899994
Section_1,dataset_heldout,pca_ridge,0,STC2,0.2668914043145568,0.2555100013941533,0.7833898663520813
Section_1,dataset_heldout,pca_ridge,0,UGT8,0.021377527496289867,0.0179203576573513,0.025641247630119324
Section_1,dataset_heldout,pca_ridge,0,SOX6,-0.0009358955987599874,0.004147056884448808,0.0661597028374672
Section_1,dataset_heldout,pca_ridge,0,PDLIM4,0.11874266826130941,0.058472689655245776,0.23599503934383392
Section_1,dataset_heldout,pca_ridge,0,TLR7,0.15867794852344078,0.14220104084163387,0.15629318356513977
Section_1,dataset_heldout,pca_ridge,0,EBF1,0.18836777119453277,0.0927893241547666,0.1969735473394394
Section_1,dataset_heldout,pca_ridge,0,FMO2,0.14198482136416357,0.09754568172400502,0.165812149643898
