split,model,seed,mean_pearson,median_pearson,sd_pearson,mean_spearman,median_spearman,mean_rmse,n_genes
random,graphsage,0,0.298215596042492,0.18878398179165795,0.300644617348526,0.33871507270810103,0.2948687687872113,0.40952334202826024,50
patient_mel1_,graphsage,0,0.09328458759452175,0.005522572517812601,0.17160936213237182,0.15678722030763373,0.09286403513456218,0.5392109279334545,50
patient_mel2_,graphsage,0,0.12757605203405883,0.046284503935908945,0.1825938899502832,0.16506794845505177,0.12713485108161937,0.5460095711052417,50
patient_mel3_,graphsage,0,0.04639170755332352,0.0,0.09888278864037817,0.05079151275693531,0.03482061003314979,0.48781417805701494,50
patient_mel4_,graphsage,0,0.08343595847568663,0.02026776784930804,0.12668236841598393,0.1169534573768264,0.08222912427578517,0.3616957452893257,50
random,graphsage,1,0.2875959623675495,0.1978936784532324,0.29321385452066134,0.3268284150774019,0.28116283188954244,0.4321319691836834,50
random,graphsage,2,0.30659083332128845,0.26327398079307884,0.2877763965387742,0.3583367837841267,0.30929934570948375,0.413995456546545,50
random,graphsage,3,0.3136967556804416,0.2567270803205193,0.28839874948126176,0.3426217524811037,0.34686137645856896,0.4089139624685049,50
random,graphsage,4,0.31327733757451176,0.1967962035775641,0.29876788103526963,0.3594524523447085,0.2965518850096417,0.4214307515323162,50
