split,model,seed,mean_pearson,median_pearson,sd_pearson,mean_spearman,median_spearman,mean_rmse,n_genes
random,mean,0,0.0,0.0,0.0,,,0.9846444475650787,50
random,pca_ridge,0,0.6496964310866473,0.6616735923041279,0.1172474395409161,0.5883854999665954,0.5848100080054055,0.7112414991855621,50
random,spatial_knn,0,-0.033841336555499216,-0.04101466602833084,0.09665271737550313,-0.034464859035166356,-0.04072787566880619,1.0562188152273826,50
matched_hop0,mean,0,0.0,0.0,0.0,,,0.9801670098304749,50
matched_hop0,pca_ridge,0,0.626738536659733,0.6307413632993989,0.12282643011316172,0.5742976836091106,0.5635008635093015,0.7234661656618119,50
matched_hop0,spatial_knn,0,0.05553823250207219,0.04933550602744047,0.05274303028539092,0.049404712561300225,0.04582440603245408,1.0097850232644605,50
matched_hop1,mean,0,0.0,0.0,0.0,,,0.9801670098304749,50
matched_hop1,pca_ridge,0,0.626738536659733,0.6307413632993989,0.12282643011316172,0.5742976836091106,0.5635008635093015,0.7234661656618119,50
matched_hop1,spatial_knn,0,0.05553823250207219,0.04933550602744047,0.05274303028539092,0.049404712561300225,0.04582440603245408,1.0097850232644605,50
matched_hop2,mean,0,0.0,0.0,0.0,,,1.0135012775659562,50
matched_hop2,pca_ridge,0,0.6505902001652979,0.6648662750725736,0.11975287194518783,0.6025214039229053,0.60111555613214,0.7339327895641327,50
matched_hop2,spatial_knn,0,0.00035742211475821176,-0.01459213842847848,0.08383069953936895,-0.004521132863986796,-0.011284712333323222,1.0576203725401434,50
matched_coord0.25,mean,0,0.0,0.0,0.0,,,0.9849774223566056,50
matched_coord0.25,pca_ridge,0,0.6297820500305753,0.6332166137515459,0.12577203610831386,0.5773743809041779,0.5679977511401149,0.7241044402122497,50
matched_coord0.25,spatial_knn,0,0.030720935102700977,0.023498628717777647,0.0590371767656678,0.025224888337517713,0.016066799365085777,1.0229015650632443,50
matched_coord0.5,mean,0,0.0,0.0,0.0,,,0.9919892019033432,50
matched_coord0.5,pca_ridge,0,0.6563042161248621,0.6796808459084015,0.12517596205475245,0.6015533437357358,0.5934146595707349,0.7082719349861145,50
matched_coord0.5,spatial_knn,0,-0.014097700092437028,-0.03388339595772602,0.08624871152505113,-0.014762857431294962,-0.013031982445288505,1.0409707535125745,50
matched_coord1.0,mean,0,0.0,0.0,0.0,,,1.0377902495861053,50
matched_coord1.0,pca_ridge,0,0.6467468016968948,0.6646306426830151,0.20592837739597963,0.6038999436566541,0.6615203267594456,0.7360189366340637,50
matched_coord1.0,spatial_knn,0,-0.03031712892746222,-0.041537640713490254,0.2411975115369548,-0.07278584961595597,-0.04491707759470915,1.0913151372926257,50
patient_mel1_,mean,0,0.0,0.0,0.0,,,1.2211722183227538,50
patient_mel1_,pca_ridge,0,0.433368663550791,0.47419507797810534,0.1887467697333957,0.4333280168099989,0.494725837707595,1.0384069615602494,50
patient_mel1_,spatial_knn,0,0.019715851112916613,0.0070548358677285546,0.08424742914866046,0.004715599833129685,-0.0016298916821911725,1.2612148113182742,50
patient_mel2_,mean,0,0.0,0.0,0.0,0.0,0.0,1.0818866935372353,50
patient_mel2_,pca_ridge,0,0.43393396285638697,0.46236856749704747,0.1563336197711223,0.4070158930622904,0.4501926723060357,0.9745681858062745,50
patient_mel2_,spatial_knn,0,0.005992137937264353,-0.0016799094265334252,0.08221176933482685,-0.002304048894764429,-0.016031825474612616,1.127616323322891,50
patient_mel3_,mean,0,0.0,0.0,0.0,0.0,0.0,1.00342498421669,50
patient_mel3_,pca_ridge,0,0.18200493595365982,0.153473652987604,0.15881114835646593,0.16919179892471328,0.12684402111357607,0.9673214143514633,50
patient_mel3_,spatial_knn,0,0.020120856964084298,0.011290139813366866,0.0964069250351976,0.026182120472556126,0.011990743981006016,1.0735511389770738,50
patient_mel4_,mean,0,0.0,0.0,0.0,0.0,0.0,0.815296431928873,50
patient_mel4_,pca_ridge,0,0.25890295808432534,0.23820749092913054,0.17198011438188657,0.2418189359856713,0.20673145989690203,0.7660796350240707,50
patient_mel4_,spatial_knn,0,0.013000490404689896,0.00963470328908116,0.08513372654454592,0.012761947884185715,0.006255731170661801,0.8997786751326632,50
random,mean,1,0.0,0.0,0.0,,,0.9816531825065613,50
random,pca_ridge,1,0.6258842848729056,0.6526491060213604,0.13336147823520839,0.5675046291716697,0.56387686211987,0.7252996772527694,50
random,spatial_knn,1,-0.006897814160404316,-0.015617906146445822,0.0813330364136037,-0.009291196595413404,-0.0049090295469963125,1.042534379082787,50
matched_hop0,mean,1,0.0,0.0,0.0,,,0.9801670098304749,50
matched_hop0,pca_ridge,1,0.6278656632754235,0.6269002933641432,0.12153511401443529,0.5752747043168897,0.5625547064417045,0.7230921250581741,50
matched_hop0,spatial_knn,1,0.05553823250207219,0.04933550602744047,0.05274303028539092,0.049404712561300225,0.04582440603245408,1.0097850232644605,50
matched_hop1,mean,1,0.0,0.0,0.0,,,0.9801670098304749,50
matched_hop1,pca_ridge,1,0.6278656632754235,0.6269002933641432,0.12153511401443529,0.5752747043168897,0.5625547064417045,0.7230921250581741,50
matched_hop1,spatial_knn,1,0.05553823250207219,0.04933550602744047,0.05274303028539092,0.049404712561300225,0.04582440603245408,1.0097850232644605,50
matched_hop2,mean,1,0.0,0.0,0.0,,,1.0135012775659562,50
matched_hop2,pca_ridge,1,0.6505054875717202,0.6658306409556536,0.12022422609024228,0.6024282186293002,0.602157777750014,0.7343994843959808,50
matched_hop2,spatial_knn,1,0.00035742211475821176,-0.01459213842847848,0.08383069953936895,-0.004521132863986796,-0.011284712333323222,1.0576203725401434,50
matched_coord0.25,mean,1,0.0,0.0,0.0,,,0.9849774223566056,50
matched_coord0.25,pca_ridge,1,0.6308856430851545,0.6325617219734021,0.12389539506065132,0.5776902223785018,0.5679361447011093,0.7239903056621552,50
matched_coord0.25,spatial_knn,1,0.030720935102700977,0.023498628717777647,0.0590371767656678,0.025224888337517713,0.016066799365085777,1.0229015650632443,50
matched_coord0.5,mean,1,0.0,0.0,0.0,,,0.9919892019033432,50
matched_coord0.5,pca_ridge,1,0.6561885487075402,0.6865534412786047,0.12681421879479682,0.6013555284008028,0.5913797139224858,0.7083078438043594,50
matched_coord0.5,spatial_knn,1,-0.014097700092437028,-0.03388339595772602,0.08624871152505113,-0.014762857431294962,-0.013031982445288505,1.0409707535125745,50
matched_coord1.0,mean,1,0.0,0.0,0.0,,,1.0377902495861053,50
matched_coord1.0,pca_ridge,1,0.6440738003363239,0.6719194168071592,0.20435343469580594,0.5995226323692695,0.6336354018148992,0.7382153111696244,50
matched_coord1.0,spatial_knn,1,-0.03031712892746222,-0.041537640713490254,0.2411975115369548,-0.07278584961595597,-0.04491707759470915,1.0913151372926257,50
random,mean,2,0.0,0.0,0.0,,,1.001742925643921,50
random,pca_ridge,2,0.6538252423415339,0.677087723935692,0.12439196924902282,0.5993027349439085,0.6098560332074598,0.7136251026391983,50
random,spatial_knn,2,-0.015285922794056536,-0.02848408693896582,0.09201494827189093,-0.014161261990235572,-0.03293045406846004,1.0677085757433522,50
matched_hop0,mean,2,0.0,0.0,0.0,,,0.9801670098304749,50
matched_hop0,pca_ridge,2,0.626983044187213,0.6335620085720475,0.12224288982938729,0.5748904471675477,0.5657026962499697,0.7234812027215958,50
matched_hop0,spatial_knn,2,0.05553823250207219,0.04933550602744047,0.05274303028539092,0.049404712561300225,0.04582440603245408,1.0097850232644605,50
matched_hop1,mean,2,0.0,0.0,0.0,,,0.9801670098304749,50
matched_hop1,pca_ridge,2,0.626983044187213,0.6335620085720475,0.12224288982938729,0.5748904471675477,0.5657026962499697,0.7234812027215958,50
matched_hop1,spatial_knn,2,0.05553823250207219,0.04933550602744047,0.05274303028539092,0.049404712561300225,0.04582440603245408,1.0097850232644605,50
matched_hop2,mean,2,0.0,0.0,0.0,,,1.0135012775659562,50
