dataset,strict_type,model,n_pairs,median_diff,statistic,p,p_bh,sig_bh_0.05
dlpfc,patient,mean,10,0.0,0.0,1.0,1.0,False
dlpfc,patient,pca_ridge,10,0.0630302767286971,0.0,0.001953125,0.0029296875,True
dlpfc,patient,spatial_knn,10,0.03693060698056258,0.0,0.001953125,0.0029296875,True
dlpfc,spatial,mean,10,0.0,0.0,1.0,1.0,False
dlpfc,spatial,pca_ridge,10,0.11652472245303391,0.0,0.001953125,0.0029296875,True
dlpfc,spatial,spatial_knn,10,0.15430867778203458,0.0,0.001953125,0.0029296875,True
anderson,patient,mean,10,0.0,0.0,1.0,1.0,False
anderson,patient,pca_ridge,10,0.4003773818972125,0.0,0.001953125,0.0029296875,True
anderson,patient,spatial_knn,10,0.04497398737401085,0.0,0.001953125,0.0029296875,True
anderson,spatial,mean,10,0.0,0.0,1.0,1.0,False
anderson,spatial,pca_ridge,10,0.19733932788531985,0.0,0.001953125,0.005859375,True
anderson,spatial,spatial_knn,10,0.043528128278046446,19.0,0.431640625,0.6474609375,False
thrane,patient,mean,10,0.0,0.0,1.0,1.0,False
thrane,patient,pca_ridge,10,0.32470820660279986,0.0,0.001953125,0.005859375,True
thrane,patient,spatial_knn,10,-0.012815312103869925,14.0,0.193359375,0.2900390625,False
thrane,spatial,mean,10,0.0,0.0,1.0,1.0,False
thrane,spatial,pca_ridge,10,-0.001310729665611965,23.0,0.6953125,1.0,False
thrane,spatial,spatial_knn,10,-0.0114492905919886,22.0,0.625,1.0,False
visium_breast,slide,mean,10,0.0,0.0,1.0,1.0,False
visium_breast,slide,pca_ridge,10,0.01816162028476659,0.0,0.001953125,0.0029296875,True
visium_breast,slide,spatial_knn,10,0.0954849895149612,0.0,0.001953125,0.0029296875,True
visium_breast,spatial,mean,10,0.0,0.0,1.0,1.0,False
visium_breast,spatial,pca_ridge,10,0.18928282986517597,0.0,0.001953125,0.0029296875,True
visium_breast,spatial,spatial_knn,10,0.5614924653720588,0.0,0.001953125,0.0029296875,True
