dataset,platform,split,model,mean_pearson,sd_seed,n_rows
dlpfc,Visium_DLPFC,matched_coord0.25,mean,0.0,0.0,10
dlpfc,Visium_DLPFC,matched_coord0.25,pca_ridge,0.16505323282689746,0.019642849730121228,10
dlpfc,Visium_DLPFC,matched_coord0.25,spatial_knn,0.12990940614932237,0.05074019225120935,10
dlpfc,Visium_DLPFC,matched_coord0.5,mean,0.0,0.0,10
dlpfc,Visium_DLPFC,matched_coord0.5,pca_ridge,0.14158639520394087,0.011004837201066438,10
dlpfc,Visium_DLPFC,matched_coord0.5,spatial_knn,0.07840000627680103,0.02934066831557332,10
dlpfc,Visium_DLPFC,matched_coord1.0,mean,0.0,0.0,4
dlpfc,Visium_DLPFC,matched_coord1.0,pca_ridge,0.10794147722368364,0.0015454096059601705,4
dlpfc,Visium_DLPFC,matched_coord1.0,spatial_knn,0.016567468005983223,0.0025492170344930502,4
dlpfc,Visium_DLPFC,matched_hop0,mean,0.0,0.0,10
dlpfc,Visium_DLPFC,matched_hop0,pca_ridge,0.1959264348358189,0.03986709271772422,10
dlpfc,Visium_DLPFC,matched_hop0,spatial_knn,0.1774287003867675,0.05104109158725292,10
dlpfc,Visium_DLPFC,matched_hop1,mean,0.0,0.0,10
dlpfc,Visium_DLPFC,matched_hop1,pca_ridge,0.1959264348358189,0.03986709271772422,10
dlpfc,Visium_DLPFC,matched_hop1,spatial_knn,0.1774287003867675,0.05104109158725292,10
dlpfc,Visium_DLPFC,matched_hop2,mean,0.0,0.0,10
dlpfc,Visium_DLPFC,matched_hop2,pca_ridge,0.18441224226056413,0.03428276333669554,10
dlpfc,Visium_DLPFC,matched_hop2,spatial_knn,0.15559799279361167,0.05664264823927906,10
dlpfc,Visium_DLPFC,matched_hop5,mean,0.0,0.0,10
dlpfc,Visium_DLPFC,matched_hop5,pca_ridge,0.15657360020499272,0.009804097633443936,10
dlpfc,Visium_DLPFC,matched_hop5,spatial_knn,0.08896043283506236,0.05532092247043058,10
dlpfc,Visium_DLPFC,patient_Br5292,mean,0.0,,1
dlpfc,Visium_DLPFC,patient_Br5292,pca_ridge,0.1909138530990831,,1
dlpfc,Visium_DLPFC,patient_Br5292,spatial_knn,0.2490359152716531,,1
dlpfc,Visium_DLPFC,patient_Br5595,mean,0.0,,1
dlpfc,Visium_DLPFC,patient_Br5595,pca_ridge,0.1516816158757906,,1
