slide,split,model,seed,gene,pearson,spearman,rmse
Section_2,random,mean,0,COL1A1,0.0,,0.6653625965118408
Section_2,random,mean,0,HLA-E,,,0.4932580590248108
Section_2,random,mean,0,CFB,,,0.5730593204498291
Section_2,random,mean,0,CCL19,,,0.584769606590271
Section_2,random,mean,0,SNCG,0.0,,0.624200701713562
Section_2,random,mean,0,IGHG2,,,0.6888598203659058
Section_1,random,pca_ridge,0,CRISP3,0.6895511699351222,0.4417785500143032,0.6564751863479614
Section_1,random,pca_ridge,0,CPB1,0.4970033224294261,0.49207139381560955,0.8351927995681763
Section_1,random,pca_ridge,0,IGHG3,0.5841691290281291,0.6435802578962555,0.821403980255127
Section_1,random,pca_ridge,0,CD74,0.7708861313178444,0.7910337330732528,0.375558465719223
Section_1,random,pca_ridge,0,IGLC2,0.6378350612413279,0.700315210322034,0.9168494939804077
Section_1,random,pca_ridge,0,HLA-B,0.7072330075952362,0.7165128676909325,0.3169771134853363
Section_1,random,pca_ridge,0,IGKC,0.5989016139352932,0.6786173497395217,0.8239589333534241
Section_1,random,pca_ridge,0,MALAT1,0.776551222629549,0.787069169398741,0.5261414647102356
Section_1,random,pca_ridge,0,ALB,0.33150281118549024,0.21158753232356728,0.6754886507987976
Section_1,random,pca_ridge,0,IGHG4,0.5883922791493429,0.6528763265297265,0.6235065460205078
Section_1,random,pca_ridge,0,TFF3,0.6597370485668885,0.6363886279164125,0.43326085805892944
Section_1,random,pca_ridge,0,CXCL14,0.651111695840001,0.48608795681403183,0.5995522141456604
Section_1,random,pca_ridge,0,IGHG1,0.5910141482092193,0.6421949085882386,0.7432895302772522
Section_1,random,pca_ridge,0,SLITRK6,0.6696767303779991,0.3960600843503804,0.39008086919784546
Section_1,random,pca_ridge,0,APOE,0.796040856229494,0.8095893540003306,0.39495140314102173
Section_1,random,pca_ridge,0,MT-ND2,0.5308144970571034,0.5511962905986986,0.44095247983932495
Section_1,random,pca_ridge,0,CALML5,0.5419195515591101,0.5619898413474709,0.44544273614883423
Section_1,random,pca_ridge,0,HLA-DRA,0.7508711223666442,0.7873215076607334,0.429943710565567
Section_1,random,pca_ridge,0,S100G,0.6242547333037173,0.6204211965895784,0.6218008399009705
