dataset,strict_label,model,random,strict,LI,RLI,retention
DLPFC,matched_hop0,mean,0.0,0.0,0.0,,
DLPFC,matched_hop0,pca_ridge,0.29157686753252077,0.1959264348358189,0.09565043269670187,0.32804534017443476,0.6719546598255652
DLPFC,matched_hop0,spatial_knn,0.29692923370828184,0.17742870038676747,0.11950053332151436,0.40245459104548015,0.5975454089545199
DLPFC,patient,mean,0.0,0.0,0.0,,
DLPFC,patient,pca_ridge,0.29157686753252077,0.2295891052880601,0.061987762244460676,0.21259492486161277,0.7874050751383872
DLPFC,patient,spatial_knn,0.29692923370828184,0.26134742372349756,0.035581809984784274,0.11983262658381973,0.8801673734161802
Andersson,matched_hop5,mean,0.0,0.0,0.0,,
Andersson,matched_hop5,pca_ridge,0.6040109346365727,0.3913154642468525,0.21269547038972025,0.3521384435162535,0.6478615564837465
Andersson,matched_hop5,spatial_knn,0.03450547515656159,0.06137609911982197,-0.026870623963260377,-0.7787350801964145,1.7787350801964146
Andersson,patient,mean,0.0,0.0,0.0,,
Andersson,patient,pca_ridge,0.6040109346365727,0.20392280560793527,0.40008812902863744,0.6623855729853076,0.3376144270146923
Andersson,patient,spatial_knn,0.03450547515656159,-0.00942275070145595,0.04392822585801754,1.2730798709104028,-0.27307987091040276
Thrane,matched_hop2,mean,0.0,0.0,0.0,,
Thrane,matched_hop2,pca_ridge,0.6532214941268585,0.6577082182985159,-0.004486724171657408,-0.006868610742294506,1.0068686107422946
Thrane,matched_hop2,spatial_knn,0.0028000700604244905,0.010365092082121129,-0.007565022021696639,-2.701725977724208,3.701725977724208
Thrane,patient,mean,0.0,0.0,0.0,,
Thrane,patient,pca_ridge,0.6532214941268585,0.32705263011129077,0.3261688640155677,0.49932353259677686,0.5006764674032231
Thrane,patient,spatial_knn,0.0028000700604244905,0.014707334104738725,-0.011907264044314235,-4.252487897573925,5.252487897573925
Visium breast,matched_hop5,mean,0.0,0.0,0.0,,
Visium breast,matched_hop5,pca_ridge,0.5972968907724414,0.4424223982699787,0.1548744925024627,0.2592923132450507,0.7407076867549492
Visium breast,matched_hop5,spatial_knn,0.6485442703888669,0.13222126033854656,0.5163230100503203,0.7961260836376417,0.20387391636235835
Visium breast,slide,mean,0.0,0.0,0.0,,
Visium breast,slide,pca_ridge,0.5972968907724414,0.5801832862409211,0.017113604531520332,0.02865175559408744,0.9713482444059126
Visium breast,slide,spatial_knn,0.6485442703888669,0.5524830610157452,0.09606120937312168,0.1481181991100213,0.8518818008899787
