dataset,preprocessing,strict_label,model,random,strict,LI,RLI,retention,rli_denominator_floor
Andersson,train_only_pca_and_scaling,matched_hop0,graphsage,0.2520455298143485,0.23323963629145025,0.01880589352289827,0.07461308096497604,0.9253869190350239,0.05
Andersson,train_only_pca_and_scaling,patient,graphsage,0.2520455298143485,0.07688586124825013,0.17515966856609838,0.6949524901120735,0.3050475098879264,0.05
Thrane,train_only_pca_and_scaling,patient,graphsage,0.3038752969972566,0.08767207641439764,0.21620322058285898,0.7114866615327763,0.28851333846722377,0.05
Visium breast,train_only_pca_and_scaling,matched_hop5,graphsage,0.29146753870788067,0.21418801071585936,0.07727952799202131,0.265139398831901,0.734860601168099,0.05
