dataset,dataset_label,seed,split,n_total,n_train,n_val,n_test,n_dropped,train_fraction_vs_random,test_fraction_vs_random,test_fraction_vs_prebuffer,train_sections,val_sections,test_sections,train_patients,val_patients,test_patients,target_genes,n_candidates,knn_k
dlpfc,DLPFC,8,matched_hop2,47681,31921,5334,7762,2664,0.8368331367151658,1.6279362416107384,0.7444849414924228,12,12,12,-1,-1,-1,50,300,15
dlpfc,DLPFC,8,matched_hop5,47681,31921,5334,516,9910,0.8368331367151658,0.10822147651006711,0.04949165547669288,12,12,12,-1,-1,-1,50,300,15
dlpfc,DLPFC,9,random,47681,38145,4768,4768,0,1.0,1.0,1.0,12,12,12,-1,-1,-1,50,300,15
dlpfc,DLPFC,9,matched_hop0,47681,31921,5334,10426,0,0.8368331367151658,2.1866610738255035,1.0,12,12,12,-1,-1,-1,50,300,15
dlpfc,DLPFC,9,matched_hop2,47681,31921,5334,7762,2664,0.8368331367151658,1.6279362416107384,0.7444849414924228,12,12,12,-1,-1,-1,50,300,15
dlpfc,DLPFC,9,matched_hop5,47681,31921,5334,516,9910,0.8368331367151658,0.10822147651006711,0.04949165547669288,12,12,12,-1,-1,-1,50,300,15
visium_breast,Visium breast,0,random,7785,6228,778,779,0,1.0,1.0,1.0,2,2,2,1,1,1,50,300,15
visium_breast,Visium breast,0,matched_hop0,7785,5233,903,1649,0,0.840237636480411,2.1168164313222078,1.0,2,2,2,1,1,1,50,300,15
visium_breast,Visium breast,0,matched_hop2,7785,5233,903,1399,250,0.840237636480411,1.7958921694480103,0.8483929654335961,2,2,2,1,1,1,50,300,15
visium_breast,Visium breast,0,matched_hop5,7785,5233,903,671,978,0.840237636480411,0.8613607188703466,0.406913280776228,2,2,2,1,1,1,50,300,15
visium_breast,Visium breast,1,random,7785,6228,778,779,0,1.0,1.0,1.0,2,2,2,1,1,1,50,300,15
visium_breast,Visium breast,1,matched_hop0,7785,5211,888,1686,0,0.8367052023121387,2.1643132220795893,1.0,2,2,2,1,1,1,50,300,15
visium_breast,Visium breast,1,matched_hop2,7785,5211,888,1414,272,0.8367052023121387,1.8151476251604621,0.8386714116251482,2,2,2,1,1,1,50,300,15
visium_breast,Visium breast,1,matched_hop5,7785,5211,888,597,1089,0.8367052023121387,0.766367137355584,0.3540925266903915,2,2,2,1,1,1,50,300,15
visium_breast,Visium breast,2,random,7785,6228,778,779,0,1.0,1.0,1.0,2,2,2,1,1,1,50,300,15
visium_breast,Visium breast,2,matched_hop0,7785,5172,830,1783,0,0.8304431599229287,2.288831835686778,1.0,2,2,2,1,1,1,50,300,15
visium_breast,Visium breast,2,matched_hop2,7785,5172,830,1662,121,0.8304431599229287,2.1335044929396663,0.9321368480089737,2,2,2,1,1,1,50,300,15
visium_breast,Visium breast,2,matched_hop5,7785,5172,830,1240,543,0.8304431599229287,1.5917843388960204,0.6954570947840718,2,2,2,1,1,1,50,300,15
visium_breast,Visium breast,3,random,7785,6228,778,779,0,1.0,1.0,1.0,2,2,2,1,1,1,50,300,15
visium_breast,Visium breast,3,matched_hop0,7785,5233,903,1649,0,0.840237636480411,2.1168164313222078,1.0,2,2,2,1,1,1,50,300,15
visium_breast,Visium breast,3,matched_hop2,7785,5233,903,1399,250,0.840237636480411,1.7958921694480103,0.8483929654335961,2,2,2,1,1,1,50,300,15
visium_breast,Visium breast,3,matched_hop5,7785,5233,903,671,978,0.840237636480411,0.8613607188703466,0.406913280776228,2,2,2,1,1,1,50,300,15
visium_breast,Visium breast,4,random,7785,6228,778,779,0,1.0,1.0,1.0,2,2,2,1,1,1,50,300,15
visium_breast,Visium breast,4,matched_hop0,7785,5233,903,1649,0,0.840237636480411,2.1168164313222078,1.0,2,2,2,1,1,1,50,300,15
visium_breast,Visium breast,4,matched_hop2,7785,5233,903,1399,250,0.840237636480411,1.7958921694480103,0.8483929654335961,2,2,2,1,1,1,50,300,15
visium_breast,Visium breast,4,matched_hop5,7785,5233,903,671,978,0.840237636480411,0.8613607188703466,0.406913280776228,2,2,2,1,1,1,50,300,15
visium_breast,Visium breast,5,random,7785,6228,778,779,0,1.0,1.0,1.0,2,2,2,1,1,1,50,300,15
visium_breast,Visium breast,5,matched_hop0,7785,5233,903,1649,0,0.840237636480411,2.1168164313222078,1.0,2,2,2,1,1,1,50,300,15
visium_breast,Visium breast,5,matched_hop2,7785,5233,903,1399,250,0.840237636480411,1.7958921694480103,0.8483929654335961,2,2,2,1,1,1,50,300,15
visium_breast,Visium breast,5,matched_hop5,7785,5233,903,671,978,0.840237636480411,0.8613607188703466,0.406913280776228,2,2,2,1,1,1,50,300,15
visium_breast,Visium breast,6,random,7785,6228,778,779,0,1.0,1.0,1.0,2,2,2,1,1,1,50,300,15
visium_breast,Visium breast,6,matched_hop0,7785,5233,903,1649,0,0.840237636480411,2.1168164313222078,1.0,2,2,2,1,1,1,50,300,15
