dataset,strict_label,model,random,strict,LI,RLI,retention
DLPFC,matched_hop0,graphsage,0.15112217982070492,0.09393073342903982,0.057191446391665096,0.3784450863501204,0.6215549136498796
Andersson,matched_hop0,graphsage,0.2508468461201954,0.23279760649767126,0.018049239622524166,0.07195322525153741,0.9280467747484625
Andersson,patient,graphsage,0.2508468461201954,0.07724829513900437,0.17359855098119104,0.6920499646147028,0.30795003538529714
Thrane,patient,graphsage,0.30150815013588134,0.08489081952776428,0.21661733060811705,0.718446020482344,0.281553979517656
Visium breast,matched_hop5,graphsage,0.28927706892390936,0.2135028732535916,0.07577419567031776,0.2619433194348675,0.7380566805651325
