dataset,strict_label,model,random,strict,LI,RLI,retention
DLPFC,matched_hop0,mean,0.0,0.0,0.0,,
DLPFC,matched_hop0,pca_ridge,0.1075456231535236,0.0755753480874617,0.0319702750660619,0.29727174503813764,0.7027282549618624
DLPFC,matched_hop0,spatial_knn,0.09134999290486136,0.05280819648114428,0.03854179642371708,0.4219135130514718,0.5780864869485282
DLPFC,patient,mean,0.0,0.0,0.0,,
DLPFC,patient,pca_ridge,0.1075456231535236,0.08058688607371693,0.02695873707980667,0.2506725637855342,0.7493274362144657
DLPFC,patient,spatial_knn,0.09134999290486136,0.07692141496212866,0.014428577942732695,0.1579483203437102,0.8420516796562898
Andersson,matched_hop0,mean,0.0,0.0,0.0,,
Andersson,matched_hop0,pca_ridge,0.2605207827266578,0.24841467029018638,0.012106112436471417,0.04646889322904164,0.9535311067709583
Andersson,matched_hop0,spatial_knn,0.02069141095530512,0.013312466372160481,0.007378944583144639,0.35661872450765536,0.6433812754923447
Andersson,patient,mean,0.0,0.0,0.0,,
Andersson,patient,pca_ridge,0.2605207827266578,0.09586289111531318,0.16465789161134461,0.632033613165158,0.367966386834842
Andersson,patient,spatial_knn,0.02069141095530512,-0.0004650546139913876,0.02115646556929651,1.0224757323217801,-0.02247573232178017
Thrane,matched_hop0,mean,0.0,0.0,0.0,,
Thrane,matched_hop0,pca_ridge,0.3165840607106197,0.29904459680080187,0.01753946390981781,0.0554022330449862,0.9445977669550139
Thrane,matched_hop0,spatial_knn,-0.01551986550342686,0.03088457184111288,-0.04640443734453974,2.9900025444352862,-1.9900025444352865
Thrane,patient,mean,0.0,0.0,0.0,,
Thrane,patient,pca_ridge,0.3165840607106197,0.11281989001739892,0.20376417069322075,0.6436337010645513,0.3563662989354487
Thrane,patient,spatial_knn,-0.01551986550342686,0.00488985934184805,-0.02040972484527491,1.3150709869726864,-0.31507098697268643
