dataset,dataset_label,seed,model,hop,random_full_mean_pearson,random_size_matched_mean_pearson,spatial_buffer_mean_pearson,random_full_median_pearson,random_size_matched_median_pearson,spatial_buffer_median_pearson,delta_size,delta_spatial,li_random_full_vs_spatial,rli_random_full_vs_spatial
dlpfc,DLPFC,0,pca_ridge,2,0.2962721284839709,0.2959073852996349,0.157542482478706,0.3525339893550157,0.3517406281665668,0.1528219982204546,0.0003647431843359916,0.1383649028209289,0.13872964600526488,0.4682507487800039
dlpfc,DLPFC,0,spatial_knn,2,0.301811911381327,0.29967753701661903,0.1117270919255663,0.2716573109098439,0.26754918984373055,0.0804996988578349,0.0021343743647079805,0.18795044509105274,0.19008481945576072,0.6298121852970751
dlpfc,DLPFC,0,pca_ridge,5,0.2962721284839709,0.2796921867994167,0.1540163597351317,0.3525339893550157,0.3182818210199456,0.1365464984977815,0.016579941684554178,0.125675827064285,0.1422557687488392,0.4801523838126934
dlpfc,DLPFC,0,spatial_knn,5,0.301811911381327,0.29817272334400363,0.0461221752641216,0.2716573109098439,0.2705205405922623,0.0313824295141337,0.003639188037323382,0.25205054807988203,0.2556897361172054,0.8471823890149647
dlpfc,DLPFC,1,pca_ridge,2,0.2956541477967391,0.2950438085767805,0.1590039790685603,0.3300689972426363,0.32972337617380865,0.1555017484144993,0.0006103392199586222,0.13603982950822016,0.13665016872817878,0.46219601431780066
dlpfc,DLPFC,1,spatial_knn,2,0.2991009197860677,0.2964904756037356,0.1117270919255663,0.2739687570579787,0.2679913071345072,0.0804996988578349,0.0026104441823320834,0.1847633836781693,0.18737382786050139,0.6264568761424096
dlpfc,DLPFC,1,pca_ridge,5,0.2956541477967391,0.25822490677191445,0.1584193727638267,0.3300689972426363,0.2881822388041977,0.1420671101841589,0.037429241024824644,0.09980553400808775,0.1372347750329124,0.4641733459706464
dlpfc,DLPFC,1,spatial_knn,5,0.2991009197860677,0.26258571060074615,0.0461221752641216,0.2739687570579787,0.25132288976365413,0.0313824295141337,0.03651520918532153,0.21646353533662455,0.2529787445219461,0.8457972804058558
dlpfc,DLPFC,2,pca_ridge,2,0.2868134924448283,0.2859265602717284,0.2333419979130809,0.318681232136273,0.31757985735411703,0.2706528727272544,0.0008869321730998747,0.0525845623586475,0.05347149453174738,0.18643298150289497
dlpfc,DLPFC,2,spatial_knn,2,0.2952451211331834,0.29541560636540043,0.2234660032734543,0.2738337135753014,0.26889349927147865,0.1974825050627648,-0.0001704852322170214,0.07194960309194612,0.0717791178597291,0.24311703300712612
dlpfc,DLPFC,2,pca_ridge,5,0.2868134924448283,0.2844801405629245,0.1834288588497006,0.318681232136273,0.31842151313705075,0.1789204491897072,0.0023333518819038113,0.10105128171322389,0.1033846335951277,0.36045944949753317
dlpfc,DLPFC,2,spatial_knn,5,0.2952451211331834,0.29520990528055274,0.1496580975274341,0.2738337135753014,0.27584286408851666,0.1233055381619463,3.521585263066562e-05,0.14555180775311866,0.14558702360574932,0.49310560339480036
dlpfc,DLPFC,3,pca_ridge,2,0.3014344268509336,0.2999343163593758,0.2210659512228968,0.3346403154663557,0.33217859594985344,0.2502827977550784,0.0015001104915577934,0.07886836513647899,0.08036847562803678,0.2666200953475725
dlpfc,DLPFC,3,spatial_knn,2,0.3037074906343557,0.3030320919814691,0.2207171243697548,0.2840916423026701,0.287397130622021,0.2109252151266495,0.0006753986528866274,0.08231496761171428,0.0829903662646009,0.2732575547980671
dlpfc,DLPFC,3,pca_ridge,5,0.3014344268509336,0.3006333218412415,0.1504885787444922,0.3346403154663557,0.3349296552942373,0.1581534147275068,0.0008011050096921046,0.15014474309674927,0.15094584810644138,0.5007584889468768
dlpfc,DLPFC,3,spatial_knn,5,0.3037074906343557,0.3025546493557352,0.1544043930794866,0.2840916423026701,0.2801087806598397,0.1443515365633866,0.001152841278620531,0.14815025627624856,0.1493030975548691,0.49160163038132115
dlpfc,DLPFC,4,pca_ridge,2,0.2865345389631832,0.28558241951647356,0.2204747341053866,0.329997564055679,0.3311068170664211,0.2495782097908667,0.0009521194467096428,0.06510768541108697,0.06605980485779661,0.23054744149459983
