split,model,seed,gene,pearson,spearman,rmse
random,graphsage,0,PTGDS,0.49566652608128786,0.35909747572133743,0.4354972243309021
random,graphsage,0,CD74,0.7824460005616384,0.7929571866153147,0.37542662024497986
random,graphsage,0,CCL19,0.6543449964559156,0.5120997181102858,0.46815791726112366
random,graphsage,0,COL3A1,0.6029404407944577,0.6117848231750403,0.5458697080612183
random,graphsage,0,CXCL14,0.7786815149364715,0.6360106614839706,0.5156928300857544
random,graphsage,0,ADH1B,0.24912650019062604,0.19211188184450495,0.2753044366836548
random,graphsage,0,TFF3,0.7232134400850178,0.7099381138453988,0.4272540211677551
random,graphsage,0,POSTN,0.5021359158495378,0.48383942234632227,0.5466402769088745
random,graphsage,0,AQP1,0.5116997270682222,0.3110092166446851,0.4443351924419403
random,graphsage,0,ISG15,0.6082679257845727,0.6048275438496985,0.39429771900177
random,graphsage,0,FDCSP,0.0,,0.15472984313964844
random,graphsage,0,CFD,0.3265843953447937,0.2632634158016017,0.39267927408218384
random,graphsage,0,FABP4,0.3363730122342183,0.2220369867393798,0.30379748344421387
random,graphsage,0,ADIRF,0.6303088902259938,0.6456223692832843,0.353017121553421
random,graphsage,0,CCL21,0.46353311869582764,0.31807204019345714,0.41666311025619507
random,graphsage,0,CD3D,0.3268485323583549,0.23592498154002894,0.31131213903427124
random,graphsage,0,CLDN5,0.4504955354965086,0.240039678929979,0.35061025619506836
random,graphsage,0,IFIT2,0.3151026186120916,0.28280660452646394,0.32425329089164734
random,graphsage,0,PTN,0.042758262724042206,0.08678438350214472,0.16895298659801483
random,graphsage,0,S100B,0.0,,0.16736909747123718
random,graphsage,0,ACTG2,0.0,,0.10138202458620071
random,graphsage,0,FOS,0.441424021409648,0.40713963859114294,0.509653627872467
random,graphsage,0,ELN,0.38828182369758324,0.2982538669151152,0.33543968200683594
random,graphsage,0,NRP1,0.2682596117974484,0.21797945486499962,0.3196089267730713
random,graphsage,0,MS4A4A,0.2986650742855912,0.20977960522346992,0.28147801756858826
random,graphsage,0,LMOD1,-0.03824350275045047,-0.020544279332535696,0.1258789598941803
random,graphsage,0,HBA2,0.09945652883142161,0.1839967036844282,0.20082987844944
random,graphsage,0,PPP1R14A,0.36684814689092055,0.15688808392675133,0.220276340842247
random,graphsage,0,SLITRK6,0.7772622520009429,0.41920962486055724,0.3231111168861389
random,graphsage,0,ADD3,0.26322846485097406,0.2650086481884674,0.31975895166397095
random,graphsage,0,MIA,0.33186074287897055,0.2986660654199183,0.11839359253644943
random,graphsage,0,LTF,0.3317104516932947,0.3072679163293486,0.24867267906665802
random,graphsage,0,CST7,0.3737493091139218,0.29913020916412947,0.2498559057712555
random,graphsage,0,TNF,0.13901683568540735,0.21040646882500041,0.16799016296863556
random,graphsage,0,NEXN,0.0,,0.1630154848098755
random,graphsage,0,HBB,0.05134523213858504,0.06019665732133187,0.20054693520069122
random,graphsage,0,SP140L,0.036952031001333825,0.1089047067668179,0.26400628685951233
random,graphsage,0,CDKN1C,0.07422064556139403,0.003757184661067426,0.25798726081848145
random,graphsage,0,ITGB1,0.24221586905992928,0.19554128424215556,0.46715253591537476
random,graphsage,0,CLDN11,0.1008750636560711,0.07962887294876801,0.1556483805179596
random,graphsage,0,STC2,0.5119328108097265,0.4142605685542897,0.48928868770599365
random,graphsage,0,UGT8,0.0,,0.03378952667117119
random,graphsage,0,SOX6,-0.004891571182798876,-0.005191308911056097,0.04895780235528946
random,graphsage,0,PDLIM4,0.22603971592169703,0.14486106728380496,0.20903389155864716
random,graphsage,0,TLR7,0.03690713767016376,0.08179623516429047,0.1711161881685257
random,graphsage,0,EBF1,0.0,,0.18462757766246796
random,graphsage,0,FMO2,0.0,,0.13230863213539124
random,graphsage,0,RELN,0.0,,0.06019212678074837
random,graphsage,0,VTI1A,0.03029299773908145,0.1257845269960402,0.22023439407348633
matched_hop5,graphsage,0,PTGDS,0.33081967097626863,0.2027798095145588,0.3095285892486572
matched_hop5,graphsage,0,CD74,0.7658954830667137,0.7906085969641086,0.45346853137016296
matched_hop5,graphsage,0,CCL19,0.21593541792026902,0.17049029921342665,0.27790939807891846
matched_hop5,graphsage,0,COL3A1,0.6143064313904975,0.6235053688313976,0.4754502475261688
matched_hop5,graphsage,0,CXCL14,0.85968651996866,0.7714167663074112,0.47308769822120667
matched_hop5,graphsage,0,ADH1B,-0.02767137777971707,-0.04310224843275509,0.07927923649549484
matched_hop5,graphsage,0,TFF3,0.30079510897773687,0.3600801467777789,0.7290185689926147
matched_hop5,graphsage,0,POSTN,0.5910479414798289,0.5788059030497307,0.40969118475914
matched_hop5,graphsage,0,AQP1,0.2642081738417834,0.14237725226415007,0.30813851952552795
matched_hop5,graphsage,0,ISG15,0.7244274568032734,0.737819677839539,0.3688989579677582
matched_hop5,graphsage,0,FDCSP,0.0,,0.05757103115320206
matched_hop5,graphsage,0,CFD,0.3136640935809113,0.24349561377472922,0.29184332489967346
