model,random,strict,split,LI,RLI
mean,0.0,0.0,matched_hop0,0.0,
pca_ridge,0.29157686753252077,0.1959264348358189,matched_hop0,0.09565043269670187,0.32804534017443476
spatial_knn,0.29692923370828184,0.17742870038676747,matched_hop0,0.11950053332151436,0.40245459104548015
mean,0.0,0.0,patient,0.0,
pca_ridge,0.29157686753252077,0.2295891052880601,patient,0.061987762244460676,0.21259492486161277
spatial_knn,0.29692923370828184,0.26134742372349756,patient,0.035581809984784274,0.11983262658381973
