split,model,seed,n_slides,mean,ci_low,ci_high
matched_coord0.25,mean,0,12,0.0,0.0,0.0
matched_coord0.25,mean,1,12,0.0,0.0,0.0
matched_coord0.25,mean,2,12,0.0,0.0,0.0
matched_coord0.25,mean,3,12,0.0,0.0,0.0
matched_coord0.25,mean,4,12,0.0,0.0,0.0
matched_coord0.25,mean,5,12,0.0,0.0,0.0
matched_coord0.25,mean,6,12,0.0,0.0,0.0
matched_coord0.25,mean,7,12,0.0,0.0,0.0
matched_coord0.25,mean,8,12,0.0,0.0,0.0
matched_coord0.25,mean,9,12,0.0,0.0,0.0
matched_coord0.25,pca_ridge,0,12,0.0957565713246733,0.08530981897303748,0.10504172344842504
matched_coord0.25,pca_ridge,1,12,0.09712388353313674,0.08717474241060312,0.1063627287110665
matched_coord0.25,pca_ridge,2,12,0.17771362655792156,0.1436434227869776,0.20858307520150526
matched_coord0.25,pca_ridge,3,12,0.16486762677657754,0.12944238508663614,0.20471380426306351
matched_coord0.25,pca_ridge,4,12,0.16432244098462276,0.12940194068034633,0.20070965154103132
matched_coord0.25,pca_ridge,5,12,0.09682068344356032,0.08765417920683109,0.10570370890882747
matched_coord0.25,pca_ridge,6,12,0.16481271140854384,0.1265203798749412,0.20401917005359935
matched_coord0.25,pca_ridge,7,12,0.09614393904066498,0.08734929746359868,0.10464892137957872
matched_coord0.25,pca_ridge,8,12,0.09771287713936488,0.08691956651681657,0.10705368900442822
matched_coord0.25,pca_ridge,9,12,0.09639642559585494,0.08626795757410755,0.1055092940863655
matched_coord0.25,spatial_knn,0,12,0.09679450591957085,0.08375943365025279,0.11039247425133311
matched_coord0.25,spatial_knn,1,12,0.09679450591957085,0.08165938772176823,0.1115603027708173
matched_coord0.25,spatial_knn,2,12,0.20363077957324668,0.1734831835760853,0.22980310773840473
matched_coord0.25,spatial_knn,3,12,0.1955654534557489,0.16937125856649518,0.22624790330672417
matched_coord0.25,spatial_knn,4,12,0.1955654534557489,0.16812029666234593,0.22354234183443342
matched_coord0.25,spatial_knn,5,12,0.09679450591957085,0.08305244337516086,0.11155517838982218
matched_coord0.25,spatial_knn,6,12,0.1955654534557489,0.1692392848900899,0.22495071301454372
matched_coord0.25,spatial_knn,7,12,0.09679450591957085,0.08244538158194681,0.11175590104221686
matched_coord0.25,spatial_knn,8,12,0.09679450591957085,0.08130890173488534,0.11064162552413385
matched_coord0.25,spatial_knn,9,12,0.09679450591957085,0.08095110858985005,0.11113259165297915
matched_coord0.5,mean,0,12,0.0,0.0,0.0
matched_coord0.5,mean,1,12,0.0,0.0,0.0
matched_coord0.5,mean,2,12,0.0,0.0,0.0
matched_coord0.5,mean,3,12,0.0,0.0,0.0
matched_coord0.5,mean,4,12,0.0,0.0,0.0
matched_coord0.5,mean,5,12,0.0,0.0,0.0
matched_coord0.5,mean,6,12,0.0,0.0,0.0
matched_coord0.5,mean,7,12,0.0,0.0,0.0
matched_coord0.5,mean,8,12,0.0,0.0,0.0
matched_coord0.5,mean,9,12,0.0,0.0,0.0
