split,model,mean,sd,min,max,n_seeds
matched_hop0,graphsage,0.25482581697701734,0.03614674414106005,0.238597595325365,0.3565529257876142,10
patient_Br5292,graphsage,0.2953958982839622,0.0034903790735191344,0.2929278275721652,0.2978639689957592,2
patient_Br5595,graphsage,0.22417278325049295,7.823731809348633e-05,0.2241174611123272,0.2242281053886587,2
patient_Br8100,graphsage,0.4598690510274979,0.00036942987735565097,0.4596078246560468,0.460130277398949,2
random,graphsage,0.42543097852792455,0.005515606134837145,0.4165543494118646,0.4337958844699204,10
