seed,match_score,n_dropped,mean_pearson
0,0.9303,0,0.2413500293122172
1,0.9303,0,0.2408961669311427
2,1.1922,0,0.3565529257876142
3,1.1534,0,0.2403366588766642
4,1.1534,0,0.2415477384038499
5,0.9303,0,0.2538424976132584
6,1.1534,0,0.2403650474137571
7,0.9303,0,0.2530781506995644
8,0.9303,0,0.238597595325365
9,0.9303,0,0.2416913594067406
