dataset,dataset_label,seed,hop,split,model,mean_pearson,median_pearson,sd_pearson,mean_spearman,median_spearman,mean_rmse,n_genes
dlpfc,DLPFC,0,2,random_size_matched_hop2,pca_ridge,0.2959073852996349,0.3517406281665668,0.16090087313329016,0.22284451626052498,0.2479588562868354,0.7700481992959977,50
dlpfc,DLPFC,0,2,random_size_matched_hop2,spatial_knn,0.29967753701661903,0.26754918984373055,0.10900835972412383,0.2559143923903179,0.22624042304863434,0.7879687133422622,50
dlpfc,DLPFC,0,5,random_size_matched_hop5,pca_ridge,0.2796921867994167,0.3182818210199456,0.16276523235622692,0.20408206741116988,0.2146464358578002,0.7902765944600105,50
dlpfc,DLPFC,0,5,random_size_matched_hop5,spatial_knn,0.29817272334400363,0.2705205405922623,0.13038559617194748,0.24282306017673122,0.20831022575605415,0.8004004547420412,50
dlpfc,DLPFC,1,2,random_size_matched_hop2,pca_ridge,0.2950438085767805,0.32972337617380865,0.15390098737802188,0.22328785878041718,0.24734841748488123,0.769790295958519,50
dlpfc,DLPFC,1,2,random_size_matched_hop2,spatial_knn,0.2964904756037356,0.2679913071345072,0.1136582354565057,0.25475005787442057,0.21734224038373393,0.7862101742627317,50
dlpfc,DLPFC,1,5,random_size_matched_hop5,pca_ridge,0.25822490677191445,0.2881822388041977,0.12497868346461198,0.1964659739894338,0.20745880486907503,0.7939038601517677,50
dlpfc,DLPFC,1,5,random_size_matched_hop5,spatial_knn,0.26258571060074615,0.25132288976365413,0.1257937094446304,0.22140538565470058,0.18192997630318494,0.8070463878169089,50
dlpfc,DLPFC,2,2,random_size_matched_hop2,pca_ridge,0.2859265602717284,0.31757985735411703,0.15277777754753752,0.2173846009986519,0.2328064388968445,0.7680141910910606,50
dlpfc,DLPFC,2,2,random_size_matched_hop2,spatial_knn,0.29541560636540043,0.26889349927147865,0.11781178589712404,0.2537346185499684,0.21922510572442094,0.78264525343752,50
dlpfc,DLPFC,2,5,random_size_matched_hop5,pca_ridge,0.2844801405629245,0.31842151313705075,0.14679576269255493,0.2162048864258509,0.22870389956759762,0.7723800173401832,50
dlpfc,DLPFC,2,5,random_size_matched_hop5,spatial_knn,0.29520990528055274,0.27584286408851666,0.11787482986906303,0.2514763674128147,0.21713098167803538,0.7869741637078479,50
dlpfc,DLPFC,3,2,random_size_matched_hop2,pca_ridge,0.2999343163593758,0.33217859594985344,0.15913145231665274,0.22373784497115828,0.24751277104112707,0.7723017862439155,50
dlpfc,DLPFC,3,2,random_size_matched_hop2,spatial_knn,0.3030320919814691,0.287397130622021,0.11227630143092437,0.2566959019830839,0.22903581362867648,0.7882538239678606,50
dlpfc,DLPFC,3,5,random_size_matched_hop5,pca_ridge,0.3006333218412415,0.3349296552942373,0.1589065016668293,0.224109198359315,0.24791981378511374,0.7721253615617752,50
dlpfc,DLPFC,3,5,random_size_matched_hop5,spatial_knn,0.3025546493557352,0.2801087806598397,0.11150730969287471,0.25633516769137205,0.2269357464995122,0.7887023192715209,50
dlpfc,DLPFC,4,2,random_size_matched_hop2,pca_ridge,0.28558241951647356,0.3311068170664211,0.1505895161084075,0.21522571473834343,0.23320523550093378,0.7669040250778199,50
dlpfc,DLPFC,4,2,random_size_matched_hop2,spatial_knn,0.28578533328501626,0.2569777345484027,0.11924162123041626,0.24607459162812398,0.2226061680550499,0.7846814353080446,50
dlpfc,DLPFC,4,5,random_size_matched_hop5,pca_ridge,0.28540726483548884,0.3284665801449921,0.1501413384729706,0.21525508950416214,0.2326654732063121,0.7670435747504234,50
dlpfc,DLPFC,4,5,random_size_matched_hop5,spatial_knn,0.28378478920167227,0.25424394530194444,0.11898906399473273,0.24459494510274074,0.21981281083966225,0.7854933181650864,50
dlpfc,DLPFC,5,2,random_size_matched_hop2,pca_ridge,0.2844232325342065,0.3178175844063932,0.15158954362865576,0.21299932251904113,0.23612208257728495,0.7647909820079803,50
dlpfc,DLPFC,5,2,random_size_matched_hop2,spatial_knn,0.2893539160846282,0.27101546820401456,0.11669873366302383,0.24530987585157593,0.2096848329543258,0.7813095627803768,50
