#Archive/File	Name	Time	Size	Type
File	GSM8558016_NEADT_20_tissue_hires_image.png.gz	10/03/2024 06:36:43	8041777	PNG
File	GSM8558016_NEADT_20_tissue_lowres_image.png.gz	10/03/2024 06:31:00	727353	PNG
File	GSM8558016_NEADT_20_tissue_positions_list.csv.gz	10/03/2024 06:33:56	65145	CSV
File	GSM8558017_NEADT_21_barcodes.tsv.gz	10/03/2024 06:32:45	10245	TSV
File	GSM8558017_NEADT_21_features.tsv.gz	10/03/2024 06:38:16	333437	TSV
File	GSM8558017_NEADT_21_matrix.mtx.gz	10/03/2024 06:37:07	17544039	MTX
File	GSM8558017_NEADT_21_scalefactors_json.json.gz	10/03/2024 06:31:05	156	JSON
File	GSM8558017_NEADT_21_tissue_hires_image.png.gz	10/03/2024 06:27:07	9535708	PNG
File	GSM8558017_NEADT_21_tissue_lowres_image.png.gz	10/03/2024 06:25:40	959214	PNG
File	GSM8558017_NEADT_21_tissue_positions_list.csv.gz	10/03/2024 06:28:38	60945	CSV
File	GSM8558018_NEADT_22_barcodes.tsv.gz	10/03/2024 06:27:08	13087	TSV
File	GSM8558018_NEADT_22_features.tsv.gz	10/03/2024 06:28:15	333437	TSV
File	GSM8558018_NEADT_22_matrix.mtx.gz	10/03/2024 06:37:43	25065439	MTX
File	GSM8558018_NEADT_22_scalefactors_json.json.gz	10/03/2024 06:27:22	159	JSON
File	GSM8558018_NEADT_22_tissue_hires_image.png.gz	10/03/2024 06:32:22	8458644	PNG
File	GSM8558018_NEADT_22_tissue_lowres_image.png.gz	10/03/2024 06:33:54	762671	PNG
File	GSM8558018_NEADT_22_tissue_positions_list.csv.gz	10/03/2024 06:30:17	66132	CSV
File	GSM8558019_CRPC_1_barcodes.tsv.gz	10/03/2024 06:36:30	3530	TSV
File	GSM8558019_CRPC_1_features.tsv.gz	10/03/2024 06:33:12	304728	TSV
File	GSM8558019_CRPC_1_matrix.mtx.gz	10/03/2024 06:26:30	6657058	MTX
File	GSM8558019_CRPC_1_scalefactors_json.json.gz	10/03/2024 06:24:50	153	JSON
File	GSM8558019_CRPC_1_tissue_hires_image.png.gz	10/03/2024 06:33:50	3746258	PNG
File	GSM8558019_CRPC_1_tissue_lowres_image.png.gz	10/03/2024 06:33:43	308372	PNG
File	GSM8558019_CRPC_1_tissue_positions_list.csv.gz	10/03/2024 06:31:05	63662	CSV
File	GSM8558020_CRPC_2_barcodes.tsv.gz	10/03/2024 06:29:22	8237	TSV
File	GSM8558020_CRPC_2_features.tsv.gz	10/03/2024 06:24:08	304728	TSV
File	GSM8558020_CRPC_2_matrix.mtx.gz	10/03/2024 06:24:46	11746724	MTX
File	GSM8558020_CRPC_2_scalefactors_json.json.gz	10/03/2024 06:33:09	156	JSON
File	GSM8558020_CRPC_2_tissue_hires_image.png.gz	10/03/2024 06:24:15	4288757	PNG
File	GSM8558020_CRPC_2_tissue_lowres_image.png.gz	10/03/2024 06:24:03	356152	PNG
File	GSM8558020_CRPC_2_tissue_positions_list.csv.gz	10/03/2024 06:33:55	63050	CSV
File	GSM8558021_CRPC_3_barcodes.tsv.gz	10/03/2024 06:24:01	10636	TSV
File	GSM8558021_CRPC_3_features.tsv.gz	10/03/2024 06:30:20	304728	TSV
File	GSM8558021_CRPC_3_matrix.mtx.gz	10/03/2024 06:38:40	24785179	MTX
File	GSM8558021_CRPC_3_scalefactors_json.json.gz	10/03/2024 06:28:16	157	JSON
File	GSM8558021_CRPC_3_tissue_hires_image.png.gz	10/03/2024 06:37:40	4481567	PNG
File	GSM8558021_CRPC_3_tissue_lowres_image.png.gz	10/03/2024 06:29:02	379865	PNG
File	GSM8558021_CRPC_3_tissue_positions_list.csv.gz	10/03/2024 06:28:39	62877	CSV
File	GSM8558022_CRPC_4_barcodes.tsv.gz	10/03/2024 06:27:15	9340	TSV
File	GSM8558022_CRPC_4_features.tsv.gz	10/03/2024 06:28:14	304728	TSV
File	GSM8558022_CRPC_4_matrix.mtx.gz	10/03/2024 06:35:27	17803785	MTX
File	GSM8558022_CRPC_4_scalefactors_json.json.gz	10/03/2024 06:29:22	159	JSON
File	GSM8558022_CRPC_4_tissue_hires_image.png.gz	10/03/2024 06:37:12	3480249	PNG
File	GSM8558022_CRPC_4_tissue_lowres_image.png.gz	10/03/2024 06:28:38	316934	PNG
File	GSM8558022_CRPC_4_tissue_positions_list.csv.gz	10/03/2024 06:37:19	65869	CSV
File	GSM8558023_CRPC_5_barcodes.tsv.gz	10/03/2024 06:28:25	5676	TSV
File	GSM8558023_CRPC_5_features.tsv.gz	10/03/2024 06:27:05	304728	TSV
File	GSM8558023_CRPC_5_matrix.mtx.gz	10/03/2024 06:26:57	8886879	MTX
File	GSM8558023_CRPC_5_scalefactors_json.json.gz	10/03/2024 06:33:04	157	JSON
File	GSM8558023_CRPC_5_tissue_hires_image.png.gz	10/03/2024 06:26:48	3932493	PNG
File	GSM8558023_CRPC_5_tissue_lowres_image.png.gz	10/03/2024 06:27:08	325421	PNG
File	GSM8558023_CRPC_5_tissue_positions_list.csv.gz	10/03/2024 06:26:57	61875	CSV
File	GSM8558024_MET_A_barcodes.tsv.gz	10/03/2024 06:37:09	12746	TSV
File	GSM8558024_MET_A_features.tsv.gz	10/03/2024 06:34:42	304728	TSV
File	GSM8558024_MET_A_matrix.mtx.gz	10/03/2024 06:31:08	2502454	MTX
File	GSM8558024_MET_A_scalefactors_json.json.gz	10/03/2024 06:27:22	156	JSON
File	GSM8558024_MET_A_tissue_hires_image.png.gz	10/03/2024 06:37:50	5318890	PNG
File	GSM8558024_MET_A_tissue_lowres_image.png.gz	10/03/2024 06:35:34	512426	PNG
File	GSM8558024_MET_A_tissue_positions_list.csv.gz	10/03/2024 06:35:33	61969	CSV
File	GSM8558025_MET_B_barcodes.tsv.gz	10/03/2024 06:30:31	13603	TSV
File	GSM8558025_MET_B_features.tsv.gz	10/03/2024 06:24:50	304728	TSV
File	GSM8558025_MET_B_matrix.mtx.gz	10/03/2024 06:34:39	32732504	MTX
File	GSM8558025_MET_B_scalefactors_json.json.gz	10/03/2024 06:38:45	158	JSON
File	GSM8558025_MET_B_tissue_hires_image.png.gz	10/03/2024 06:27:55	4819511	PNG
File	GSM8558025_MET_B_tissue_lowres_image.png.gz	10/03/2024 06:29:31	428409	PNG
File	GSM8558025_MET_B_tissue_positions_list.csv.gz	10/03/2024 06:37:51	61109	CSV
File	GSM8558026_MET_C_barcodes.tsv.gz	10/03/2024 06:24:15	13088	TSV
File	GSM8558026_MET_C_features.tsv.gz	10/03/2024 06:31:03	304728	TSV
File	GSM8558026_MET_C_matrix.mtx.gz	10/03/2024 06:28:24	7077522	MTX
File	GSM8558026_MET_C_scalefactors_json.json.gz	10/03/2024 06:24:02	154	JSON
File	GSM8558026_MET_C_tissue_hires_image.png.gz	10/03/2024 06:34:07	5462349	PNG
File	GSM8558026_MET_C_tissue_lowres_image.png.gz	10/03/2024 06:24:09	522382	PNG
File	GSM8558026_MET_C_tissue_positions_list.csv.gz	10/03/2024 06:25:41	63711	CSV
File	GSM8558027_MET_D_barcodes.tsv.gz	10/03/2024 06:26:52	18176	TSV
File	GSM8558027_MET_D_features.tsv.gz	10/03/2024 06:27:47	304728	TSV
File	GSM8558027_MET_D_matrix.mtx.gz	10/03/2024 06:28:55	16614620	MTX
File	GSM8558027_MET_D_scalefactors_json.json.gz	10/03/2024 06:27:09	157	JSON
File	GSM8558027_MET_D_tissue_hires_image.png.gz	10/03/2024 06:32:07	5784725	PNG
File	GSM8558027_MET_D_tissue_lowres_image.png.gz	10/03/2024 06:26:54	556229	PNG
File	GSM8558027_MET_D_tissue_positions_list.csv.gz	10/03/2024 06:33:04	63194	CSV
