#Archive/File	Name	Time	Size	Type
File	GSM8557985_TRNA_6_features.tsv.gz	10/03/2024 06:33:51	304728	TSV
File	GSM8557985_TRNA_6_matrix.mtx.gz	10/03/2024 06:32:44	55522192	MTX
File	GSM8557985_TRNA_6_scalefactors_json.json.gz	10/03/2024 06:24:08	157	JSON
File	GSM8557985_TRNA_6_tissue_hires_image.png.gz	10/03/2024 06:34:47	4664891	PNG
File	GSM8557985_TRNA_6_tissue_lowres_image.png.gz	10/03/2024 06:26:59	426312	PNG
File	GSM8557985_TRNA_6_tissue_positions_list.csv.gz	10/03/2024 06:24:34	64656	CSV
File	GSM8557986_TRNA_7_barcodes.tsv.gz	10/03/2024 06:33:11	12216	TSV
File	GSM8557986_TRNA_7_features.tsv.gz	10/03/2024 06:36:09	304728	TSV
File	GSM8557986_TRNA_7_matrix.mtx.gz	10/03/2024 06:29:22	20815601	MTX
File	GSM8557986_TRNA_7_scalefactors_json.json.gz	10/03/2024 06:37:44	158	JSON
File	GSM8557986_TRNA_7_tissue_hires_image.png.gz	10/03/2024 06:27:46	4636177	PNG
File	GSM8557986_TRNA_7_tissue_lowres_image.png.gz	10/03/2024 06:28:09	394165	PNG
File	GSM8557986_TRNA_7_tissue_positions_list.csv.gz	10/03/2024 06:38:16	61480	CSV
File	GSM8557987_TRNA_8_barcodes.tsv.gz	10/03/2024 06:35:08	4491	TSV
File	GSM8557987_TRNA_8_features.tsv.gz	10/03/2024 06:36:50	304728	TSV
File	GSM8557987_TRNA_8_matrix.mtx.gz	10/03/2024 06:39:01	14649695	MTX
File	GSM8557987_TRNA_8_scalefactors_json.json.gz	10/03/2024 06:35:34	158	JSON
File	GSM8557987_TRNA_8_tissue_hires_image.png.gz	10/03/2024 06:30:35	3789430	PNG
File	GSM8557987_TRNA_8_tissue_lowres_image.png.gz	10/03/2024 06:39:02	308441	PNG
File	GSM8557987_TRNA_8_tissue_positions_list.csv.gz	10/03/2024 06:24:32	64166	CSV
File	GSM8557988_TRNA_9_barcodes.tsv.gz	10/03/2024 06:37:10	9517	TSV
File	GSM8557988_TRNA_9_features.tsv.gz	10/03/2024 06:34:08	304728	TSV
File	GSM8557988_TRNA_9_matrix.mtx.gz	10/03/2024 06:24:31	14800873	MTX
File	GSM8557988_TRNA_9_scalefactors_json.json.gz	10/03/2024 06:27:09	145	JSON
File	GSM8557988_TRNA_9_tissue_hires_image.png.gz	10/03/2024 06:32:01	4391085	PNG
File	GSM8557988_TRNA_9_tissue_lowres_image.png.gz	10/03/2024 06:32:53	394586	PNG
File	GSM8557988_TRNA_9_tissue_positions_list.csv.gz	10/03/2024 06:38:33	64044	CSV
File	GSM8557989_TRNA_10_barcodes.tsv.gz	10/03/2024 06:31:05	7078	TSV
File	GSM8557989_TRNA_10_features.tsv.gz	10/03/2024 06:37:43	304728	TSV
File	GSM8557989_TRNA_10_matrix.mtx.gz	10/03/2024 06:26:42	11105075	MTX
File	GSM8557989_TRNA_10_scalefactors_json.json.gz	10/03/2024 06:35:32	158	JSON
File	GSM8557989_TRNA_10_tissue_hires_image.png.gz	10/03/2024 06:30:30	4153260	PNG
File	GSM8557989_TRNA_10_tissue_lowres_image.png.gz	10/03/2024 06:27:08	353174	PNG
File	GSM8557989_TRNA_10_tissue_positions_list.csv.gz	10/03/2024 06:27:47	62154	CSV
File	GSM8557990_TRNA_11_barcodes.tsv.gz	10/03/2024 06:37:35	25678	TSV
File	GSM8557990_TRNA_11_features.tsv.gz	10/03/2024 06:31:45	304728	TSV
File	GSM8557990_TRNA_11_matrix.mtx.gz	10/03/2024 06:36:29	57439185	MTX
File	GSM8557990_TRNA_11_scalefactors_json.json.gz	10/03/2024 06:27:10	157	JSON
File	GSM8557990_TRNA_11_tissue_hires_image.png.gz	10/03/2024 06:32:11	3473405	PNG
File	GSM8557990_TRNA_11_tissue_lowres_image.png.gz	10/03/2024 06:28:30	316737	PNG
File	GSM8557990_TRNA_11_tissue_positions_list.csv.gz	10/03/2024 06:33:51	65551	CSV
File	GSM8557991_TRNA_12_barcodes.tsv.gz	10/03/2024 06:27:51	6548	TSV
File	GSM8557991_TRNA_12_features.tsv.gz	10/03/2024 06:26:18	304728	TSV
File	GSM8557991_TRNA_12_matrix.mtx.gz	10/03/2024 06:38:15	16529680	MTX
File	GSM8557991_TRNA_12_scalefactors_json.json.gz	10/03/2024 06:31:12	156	JSON
File	GSM8557991_TRNA_12_tissue_hires_image.png.gz	10/03/2024 06:27:04	4043366	PNG
File	GSM8557991_TRNA_12_tissue_lowres_image.png.gz	10/03/2024 06:37:51	341741	PNG
File	GSM8557991_TRNA_12_tissue_positions_list.csv.gz	10/03/2024 06:32:52	61488	CSV
File	GSM8557992_TRNA_13_barcodes.tsv.gz	10/03/2024 06:26:51	10751	TSV
File	GSM8557992_TRNA_13_features.tsv.gz	10/03/2024 06:27:24	304728	TSV
File	GSM8557992_TRNA_13_matrix.mtx.gz	10/03/2024 06:25:24	28304151	MTX
File	GSM8557992_TRNA_13_scalefactors_json.json.gz	10/03/2024 06:31:04	157	JSON
File	GSM8557992_TRNA_13_tissue_hires_image.png.gz	10/03/2024 06:36:48	4581476	PNG
File	GSM8557992_TRNA_13_tissue_lowres_image.png.gz	10/03/2024 06:32:46	392270	PNG
File	GSM8557992_TRNA_13_tissue_positions_list.csv.gz	10/03/2024 06:30:31	66715	CSV
File	GSM8557993_TRNA_14_barcodes.tsv.gz	10/03/2024 06:24:16	13093	TSV
File	GSM8557993_TRNA_14_features.tsv.gz	10/03/2024 06:31:04	304728	TSV
File	GSM8557993_TRNA_14_matrix.mtx.gz	10/03/2024 06:26:17	24550932	MTX
File	GSM8557993_TRNA_14_scalefactors_json.json.gz	10/03/2024 06:27:24	160	JSON
File	GSM8557993_TRNA_14_tissue_hires_image.png.gz	10/03/2024 06:37:49	4079336	PNG
File	GSM8557993_TRNA_14_tissue_lowres_image.png.gz	10/03/2024 06:33:45	355686	PNG
File	GSM8557993_TRNA_14_tissue_positions_list.csv.gz	10/03/2024 06:37:52	62636	CSV
File	GSM8557994_TRNA_15_barcodes.tsv.gz	10/03/2024 06:30:36	10434	TSV
File	GSM8557994_TRNA_15_features.tsv.gz	10/03/2024 06:24:51	304728	TSV
File	GSM8557994_TRNA_15_matrix.mtx.gz	10/03/2024 06:36:53	13004998	MTX
File	GSM8557994_TRNA_15_scalefactors_json.json.gz	10/03/2024 06:34:48	160	JSON
File	GSM8557994_TRNA_15_tissue_hires_image.png.gz	10/03/2024 06:24:09	4591714	PNG
File	GSM8557994_TRNA_15_tissue_lowres_image.png.gz	10/03/2024 06:36:49	381127	PNG
File	GSM8557994_TRNA_15_tissue_positions_list.csv.gz	10/03/2024 06:24:46	63166	CSV
File	GSM8557995_TRNA_16_barcodes.tsv.gz	10/03/2024 06:37:09	15793	TSV
File	GSM8557995_TRNA_16_features.tsv.gz	10/03/2024 06:34:40	304728	TSV
File	GSM8557995_TRNA_16_matrix.mtx.gz	10/03/2024 06:39:21	19473255	MTX
File	GSM8557995_TRNA_16_scalefactors_json.json.gz	10/03/2024 06:24:01	159	JSON
File	GSM8557995_TRNA_16_tissue_hires_image.png.gz	10/03/2024 06:34:01	4666318	PNG
File	GSM8557995_TRNA_16_tissue_lowres_image.png.gz	10/03/2024 06:29:10	409372	PNG
File	GSM8557995_TRNA_16_tissue_positions_list.csv.gz	10/03/2024 06:26:52	62275	CSV
File	GSM8557996_TRNA_17_barcodes.tsv.gz	10/03/2024 06:34:49	26741	TSV
File	GSM8557996_TRNA_17_features.tsv.gz	10/03/2024 06:36:55	304728	TSV
File	GSM8557996_TRNA_17_matrix.mtx.gz	10/03/2024 06:24:42	33622559	MTX
File	GSM8557996_TRNA_17_scalefactors_json.json.gz	10/03/2024 06:38:46	159	JSON
File	GSM8557996_TRNA_17_tissue_hires_image.png.gz	10/03/2024 06:27:54	2852671	PNG
File	GSM8557996_TRNA_17_tissue_lowres_image.png.gz	10/03/2024 06:24:04	262036	PNG
File	GSM8557996_TRNA_17_tissue_positions_list.csv.gz	10/03/2024 06:35:28	62038	CSV
File	GSM8557997_NEADT_1_barcodes.tsv.gz	10/03/2024 06:36:55	17708	TSV
File	GSM8557997_NEADT_1_features.tsv.gz	10/03/2024 06:34:50	304728	TSV
File	GSM8557997_NEADT_1_matrix.mtx.gz	10/03/2024 06:36:08	43210930	MTX
File	GSM8557997_NEADT_1_scalefactors_json.json.gz	10/03/2024 06:24:16	156	JSON
File	GSM8557997_NEADT_1_tissue_hires_image.png.gz	10/03/2024 06:33:09	3767353	PNG
File	GSM8557997_NEADT_1_tissue_lowres_image.png.gz	10/03/2024 06:25:29	340766	PNG
File	GSM8557997_NEADT_1_tissue_positions_list.csv.gz	10/03/2024 06:35:35	63328	CSV
File	GSM8557998_NEADT_2_barcodes.tsv.gz	10/03/2024 06:31:04	18026	TSV
File	GSM8557998_NEADT_2_features.tsv.gz	10/03/2024 06:24:17	304728	TSV
File	GSM8557998_NEADT_2_matrix.mtx.gz	10/03/2024 06:38:32	44915975	MTX
File	GSM8557998_NEADT_2_scalefactors_json.json.gz	10/03/2024 06:33:42	161	JSON
File	GSM8557998_NEADT_2_tissue_hires_image.png.gz	10/03/2024 06:24:57	5086629	PNG
File	GSM8557998_NEADT_2_tissue_lowres_image.png.gz	10/03/2024 06:33:52	448540	PNG
File	GSM8557998_NEADT_2_tissue_positions_list.csv.gz	10/03/2024 06:37:44	61109	CSV
File	GSM8557999_NEADT_3_barcodes.tsv.gz	10/03/2024 06:24:52	25985	TSV
File	GSM8557999_NEADT_3_features.tsv.gz	10/03/2024 06:30:37	304728	TSV
File	GSM8557999_NEADT_3_matrix.mtx.gz	10/03/2024 06:26:05	42754316	MTX
File	GSM8557999_NEADT_3_scalefactors_json.json.gz	10/03/2024 06:28:13	157	JSON
File	GSM8557999_NEADT_3_tissue_hires_image.png.gz	10/03/2024 06:37:24	4544139	PNG
File	GSM8557999_NEADT_3_tissue_lowres_image.png.gz	10/03/2024 06:36:57	399945	PNG
File	GSM8557999_NEADT_3_tissue_positions_list.csv.gz	10/03/2024 06:25:41	67258	CSV
File	GSM8558000_NEADT_4_barcodes.tsv.gz	10/03/2024 06:26:17	25142	TSV
File	GSM8558000_NEADT_4_features.tsv.gz	10/03/2024 06:27:51	304728	TSV
File	GSM8558000_NEADT_4_matrix.mtx.gz	10/03/2024 06:26:50	47109788	MTX
File	GSM8558000_NEADT_4_scalefactors_json.json.gz	10/03/2024 06:30:20	158	JSON
File	GSM8558000_NEADT_4_tissue_hires_image.png.gz	10/03/2024 06:37:18	5056517	PNG
File	GSM8558000_NEADT_4_tissue_lowres_image.png.gz	10/03/2024 06:37:41	437414	PNG
File	GSM8558000_NEADT_4_tissue_positions_list.csv.gz	10/03/2024 06:32:55	65429	CSV
File	GSM8558001_NEADT_5_barcodes.tsv.gz	10/03/2024 06:27:23	16379	TSV
File	GSM8558001_NEADT_5_features.tsv.gz	10/03/2024 06:26:51	304728	TSV
File	GSM8558001_NEADT_5_matrix.mtx.gz	10/03/2024 06:36:41	32682590	MTX
File	GSM8558001_NEADT_5_scalefactors_json.json.gz	10/03/2024 06:32:33	157	JSON
File	GSM8558001_NEADT_5_tissue_hires_image.png.gz	10/03/2024 06:26:23	4462161	PNG
File	GSM8558001_NEADT_5_tissue_lowres_image.png.gz	10/03/2024 06:32:12	372596	PNG
File	GSM8558001_NEADT_5_tissue_positions_list.csv.gz	10/03/2024 06:30:22	63956	CSV
File	GSM8558002_NEADT_6_barcodes.tsv.gz	10/03/2024 06:37:43	22302	TSV
File	GSM8558002_NEADT_6_features.tsv.gz	10/03/2024 06:31:05	304728	TSV
File	GSM8558002_NEADT_6_matrix.mtx.gz	10/03/2024 06:39:03	31777498	MTX
File	GSM8558002_NEADT_6_scalefactors_json.json.gz	10/03/2024 06:26:53	157	JSON
File	GSM8558002_NEADT_6_tissue_hires_image.png.gz	10/03/2024 06:33:04	3645996	PNG
File	GSM8558002_NEADT_6_tissue_lowres_image.png.gz	10/03/2024 06:25:43	328614	PNG
File	GSM8558002_NEADT_6_tissue_positions_list.csv.gz	10/03/2024 06:27:50	61319	CSV
File	GSM8558003_NEADT_7_barcodes.tsv.gz	10/03/2024 06:31:25	27412	TSV
File	GSM8558003_NEADT_7_features.tsv.gz	10/03/2024 06:37:34	304728	TSV
File	GSM8558003_NEADT_7_matrix.mtx.gz	10/03/2024 06:25:28	47581808	MTX
File	GSM8558003_NEADT_7_scalefactors_json.json.gz	10/03/2024 06:37:07	160	JSON
File	GSM8558003_NEADT_7_tissue_hires_image.png.gz	10/03/2024 06:29:29	6443402	PNG
File	GSM8558003_NEADT_7_tissue_lowres_image.png.gz	10/03/2024 06:27:50	534830	PNG
File	GSM8558003_NEADT_7_tissue_positions_list.csv.gz	10/03/2024 06:33:46	63037	CSV
File	GSM8558004_NEADT_8_barcodes.tsv.gz	10/03/2024 06:32:32	20717	TSV
File	GSM8558004_NEADT_8_features.tsv.gz	10/03/2024 06:38:46	304728	TSV
File	GSM8558004_NEADT_8_matrix.mtx.gz	10/03/2024 06:31:56	32476974	MTX
File	GSM8558004_NEADT_8_scalefactors_json.json.gz	10/03/2024 06:37:25	158	JSON
File	GSM8558004_NEADT_8_tissue_hires_image.png.gz	10/03/2024 06:28:13	3121862	PNG
File	GSM8558004_NEADT_8_tissue_lowres_image.png.gz	10/03/2024 06:37:41	284141	PNG
File	GSM8558004_NEADT_8_tissue_positions_list.csv.gz	10/03/2024 06:27:50	59315	CSV
File	GSM8558005_NEADT_9_barcodes.tsv.gz	10/03/2024 06:38:15	25411	TSV
File	GSM8558005_NEADT_9_features.tsv.gz	10/03/2024 06:32:46	304728	TSV
File	GSM8558005_NEADT_9_matrix.mtx.gz	10/03/2024 06:30:16	48625960	MTX
