split,model,seed,mean_pearson,median_pearson,sd_pearson,mean_spearman,median_spearman,mean_rmse,n_genes
random,graphsage,0,0.250552554172901,0.2442835372101982,0.2393628048447954,0.2741309657857327,0.2460562718879838,0.4348663793504238,50
matched_hop0,graphsage,0,0.2300233475379017,0.2085727971341484,0.2389450279744474,0.260551499710017,0.2340871712212154,0.4360522584617138,50
patient_A,graphsage,0,0.0675841597539707,0.022200287972238976,0.10119758314580596,0.08718188352789272,0.058213630759815095,0.3199617560021579,50
patient_B,graphsage,0,0.0838386911139832,0.02269850069710916,0.12795770435923373,0.12873876738924142,0.07482530122683201,0.6564397218823433,50
patient_C,graphsage,0,0.12549013496618935,0.03799436068122035,0.1773448872199652,0.1609317091862856,0.10366174460060668,0.39485610678792,50
patient_D,graphsage,0,0.09155140883057043,0.0291631142242785,0.15613362308421797,0.11738080519801386,0.05400079822904537,0.43807060634717343,50
patient_E,graphsage,0,0.040780017073633254,0.010107389725460802,0.06879634356105419,0.06075194099783506,0.03588889814849536,0.384992582090199,50
patient_F,graphsage,0,0.04681857384240431,0.011923323221844404,0.08190403238696681,0.0580684517727398,0.030261787367568578,0.3386709573492408,50
patient_G,graphsage,0,0.08759458579067289,0.03596979017531951,0.12518685329168722,0.11640948836262022,0.08760467530268023,0.6056677427887917,50
patient_H,graphsage,0,0.07432878974061118,0.019806235449872457,0.09771020258320401,0.10192076954525943,0.08508351544597638,0.5857189167290926,50
random,graphsage,1,0.2515460641543892,0.23534690040540507,0.23688869325549933,0.2662639123897341,0.2572683430200589,0.43176628440618514,50
matched_hop0,graphsage,1,0.23207139527390347,0.21339433863980356,0.2338617202892948,0.24601384454815292,0.2204550911846342,0.43705619126558304,50
random,graphsage,2,0.2511716629386922,0.23611270412428517,0.2416195176965262,0.26295531059707883,0.24540581693835742,0.43251815877854827,50
matched_hop0,graphsage,2,0.23455348531648376,0.23230633587659333,0.2349159347090781,0.2533525307936542,0.22170005752899868,0.4359351082146168,50
random,graphsage,3,0.23858551880945203,0.18987802165738804,0.24491361963454755,0.28379578222577184,0.2528561929614597,0.4265287575125694,50
matched_hop0,graphsage,3,0.22825015996672796,0.1545301090868451,0.23640287108650795,0.24886908139004513,0.2156334548477475,0.4366137346625328,50
random,graphsage,4,0.2623784305255427,0.24439757818790003,0.24142728783507023,0.2698166299418138,0.2446598511661908,0.4290639580786228,50
matched_hop0,graphsage,4,0.23908964439333968,0.19868470483145706,0.23259567291959504,0.2508941599983387,0.2202829085498066,0.43590578109025957,50
