slide,split,model,seed,gene,pearson,spearman,rmse
151507,random,pca_ridge,0,SCGB2A2,0.3619800352471839,0.36079132708336953,1.4984214305877686
151507,random,pca_ridge,0,SCGB1D2,0.3044511049014339,0.29811645044180207,1.2223294973373413
151507,random,pca_ridge,0,MBP,0.37945196454978547,0.26609796209117625,1.11029052734375
151507,random,pca_ridge,0,GFAP,0.5005915172153849,0.4943656643382087,1.141310453414917
151507,random,pca_ridge,0,PLP1,0.3966322972243859,0.26010045904463175,1.194934606552124
151507,random,pca_ridge,0,SAA1,0.17930928384937847,0.145915579409478,0.9747357964515686
151507,random,pca_ridge,0,MGP,0.08686314217873131,0.07908351677960747,1.1243934631347656
151507,random,pca_ridge,0,IGKC,0.0041354789460767575,-0.023572499469474345,1.2042934894561768
151507,random,pca_ridge,0,FABP4,0.13721916552002225,0.10002709269268577,0.9205984473228455
151507,random,pca_ridge,0,MOBP,0.3835888179990526,0.2655889114879527,0.7408662438392639
151507,random,pca_ridge,0,HBB,0.03297394671604678,0.042827633273928196,0.8372330665588379
151507,random,pca_ridge,0,NEFL,0.4464690165854123,0.3960207024534314,0.9949250817298889
151507,random,pca_ridge,0,TF,0.3343216632224698,0.22208278593310785,0.8150497078895569
151507,random,pca_ridge,0,IGHG3,0.08318056744434209,0.08401538816838029,0.5810371041297913
151507,random,pca_ridge,0,CNP,0.3365828291583617,0.2377120783773714,0.997760534286499
151507,random,pca_ridge,0,CPB1,0.02421973555749196,0.02731200953659264,0.4819355010986328
151507,random,pca_ridge,0,CRYAB,0.3403616117968421,0.26301147351063303,1.0742292404174805
151507,random,pca_ridge,0,IGHA1,0.09101645315648643,0.05905226038446295,0.7866747975349426
151507,random,pca_ridge,0,KRT8,0.3072237298665071,0.24293500614505112,0.9888482689857483
151507,random,pca_ridge,0,MUC1,0.25851229400603587,0.26308895279934696,1.0155725479125977
151507,random,pca_ridge,0,KRT19,0.1361359320758267,0.1341267898790444,1.0557762384414673
151507,random,pca_ridge,0,IGLC2,0.12374636171781017,0.10852874884293608,0.8103981018066406
151507,random,pca_ridge,0,TFF1,0.1753401145485242,0.16741683376868685,0.872428834438324
151507,random,pca_ridge,0,MAG,0.3027268638709422,0.18079919193682048,0.5955666899681091
151507,random,pca_ridge,0,ERMN,0.38946218256960174,0.25495974880855016,0.48274511098861694
151507,random,pca_ridge,0,CLDN11,0.2685707112046347,0.19672468132895687,0.6210549473762512
151507,random,pca_ridge,0,CLDND1,0.22947698301840877,0.1373680527334682,0.8301406502723694
151507,random,pca_ridge,0,SPP1,0.2843497127583573,0.22140195220562534,0.6400837302207947
151507,random,pca_ridge,0,PPP1R14A,0.3294254007941215,0.2036257938221646,0.7533209919929504
151507,random,pca_ridge,0,S100B,0.36005204455294615,0.3248351838439599,1.0806907415390015
151507,random,pca_ridge,0,MOG,0.29233506675182896,0.17401131307868037,0.5201634764671326
151507,random,pca_ridge,0,MALAT1,0.16117019350077405,0.2064977569856245,1.1232489347457886
151507,random,pca_ridge,0,CARNS1,0.2629923211711425,0.14428828768145205,0.4517999291419983
151507,random,pca_ridge,0,IGHG4,0.0380221149537429,0.011469730200991098,0.5254762172698975
151507,random,pca_ridge,0,KRT18,0.26918759364479106,0.18415220637148536,0.8853561878204346
151507,random,pca_ridge,0,BCAS1,0.2203517262807408,0.1673673765627911,0.653120756149292
151507,random,pca_ridge,0,PTGDS,0.22973757794918076,0.2831730855698703,1.0246608257293701
151507,random,pca_ridge,0,SAA2,0.12987463633722834,0.12774181503169774,0.48048636317253113
151507,random,pca_ridge,0,SEPT4,0.20545837191629365,0.14632427105599274,0.8403276205062866
151507,random,pca_ridge,0,TFF3,0.15669841412593877,0.14687710388761677,0.9435917735099792
151507,random,pca_ridge,0,HPCAL1,0.17988333797568537,0.18240145440544686,0.9711336493492126
151507,random,pca_ridge,0,S100A11,0.1804798892440308,0.14545688952195404,0.912416398525238
151507,random,pca_ridge,0,ALB,0.040838535556049244,0.04341458337547648,0.137522354722023
151507,random,pca_ridge,0,RNASE1,0.16318300245821757,0.1100500509201555,0.8343817591667175
151507,random,pca_ridge,0,TMEM144,0.24832330782804807,0.11922368297394541,0.532349169254303
151507,random,pca_ridge,0,ENPP2,0.21443561765129954,0.10629380303518456,0.5831388235092163
151507,random,pca_ridge,0,MAL,0.2474865620345628,0.1292631458553975,0.5692621469497681
151507,random,pca_ridge,0,NKX6-2,0.2052808236830777,0.0694586893396701,0.4305376708507538
151507,random,pca_ridge,0,HSPA2,0.24347897636978388,0.15770803907450134,0.5771673917770386
151507,random,pca_ridge,0,G0S2,0.18968798156618347,0.16859437674232308,0.5757910013198853
151507,random,pca_ridge,0,DAPP1,0.028963366603877844,0.039466665821169936,0.0720771998167038
151507,random,pca_ridge,0,AC005837.3,,,0.0013514329912140965
151507,random,pca_ridge,0,DTHD1,,,0.0010999389924108982
151507,random,pca_ridge,0,HOXA5,,,0.002363762119784951
151507,random,pca_ridge,0,Z82188.2,-0.004546154941786792,-0.003986531901128277,0.06206484138965607
