slide,split,model,seed,gene,pearson,spearman,rmse
151507,random,mean,0,PTGDS,,,1.0515235662460327
151507,random,mean,0,CD74,,,1.03878653049469
151507,random,mean,0,CCL19,,,0.24629122018814087
151507,random,mean,0,COL3A1,,,0.5236908793449402
151507,random,mean,0,CXCL14,,,1.051813006401062
151507,random,mean,0,ADH1B,,,0.4837856590747833
151507,random,mean,0,TFF3,,,0.9556026458740234
151507,random,mean,0,POSTN,,,0.3408832252025604
151507,random,mean,0,AQP1,0.0,,0.3335498869419098
151507,random,mean,0,ISG15,,,0.7177146077156067
151507,random,mean,0,FDCSP,,,0.05547453835606575
151507,random,mean,0,CFD,,,0.5358167290687561
151507,random,mean,0,FABP4,,,0.9308856129646301
151507,random,mean,0,ADIRF,0.0,,0.9284710884094238
151507,random,mean,0,CCL21,,,0.08196426928043365
151507,random,mean,0,CD3D,,,0.11459793150424957
151507,random,mean,0,CLDN5,,,0.6073834300041199
151507,random,mean,0,IFIT2,,,0.2319144904613495
151507,random,mean,0,PTN,,,0.941471517086029
151507,random,mean,0,S100B,0.0,,1.1580840349197388
151507,random,mean,0,ACTG2,,,0.09352558106184006
151507,random,mean,0,FOS,,,0.4757126271724701
151507,random,mean,0,ELN,,,0.15641829371452332
151507,random,mean,0,NRP1,0.0,,0.25931164622306824
151507,random,mean,0,MS4A4A,,,0.10673318803310394
151507,random,mean,0,LMOD1,0.0,,0.2414306402206421
151507,random,mean,0,HBA2,,,0.8309776782989502
151507,random,mean,0,PPP1R14A,,,0.8012845516204834
151507,random,mean,0,SLITRK6,0.0,,0.12578551471233368
151507,random,mean,0,ADD3,,,0.7630358934402466
151507,random,mean,0,MIA,0.0,,0.06220891326665878
151507,random,mean,0,LTF,,,0.571427047252655
151507,random,mean,0,CST7,0.0,,0.05573970451951027
151507,random,mean,0,TNF,,,0.0017667802749201655
151507,random,mean,0,NEXN,,,0.11414850503206253
151507,random,mean,0,HBB,,,0.8362792730331421
151507,random,mean,0,SP140L,0.0,,0.1691877692937851
151507,random,mean,0,CDKN1C,,,0.44222190976142883
151507,random,mean,0,ITGB1,,,0.4631413519382477
151507,random,mean,0,CLDN11,,,0.640375018119812
151507,random,mean,0,STC2,,,0.30979853868484497
151507,random,mean,0,UGT8,0.0,,0.3614279627799988
151507,random,mean,0,SOX6,,,0.2943299114704132
151507,random,mean,0,PDLIM4,,,0.39154812693595886
151507,random,mean,0,SEPT4,,,0.8583104014396667
151507,random,mean,0,TLR7,,,0.15271297097206116
151507,random,mean,0,EBF1,,,0.1843995600938797
151507,random,mean,0,FMO2,,,0.06245988979935646
151507,random,mean,0,RELN,,,0.4472104609012604
151507,random,mean,0,VTI1A,,,0.2924836575984955
151508,random,mean,0,PTGDS,,,1.1150096654891968
151508,random,mean,0,CD74,,,1.0351283550262451
151508,random,mean,0,CCL19,,,0.21534955501556396
151508,random,mean,0,COL3A1,0.0,,0.5999786257743835
151508,random,mean,0,CXCL14,,,1.1241016387939453
151508,random,mean,0,ADH1B,,,0.43558287620544434
151508,random,mean,0,TFF3,,,0.9716283082962036
151508,random,mean,0,POSTN,,,0.28827741742134094
151508,random,mean,0,AQP1,0.0,,0.16489826142787933
151508,random,mean,0,ISG15,,,0.7557998895645142
151508,random,mean,0,FDCSP,,,0.16957736015319824
151508,random,mean,0,CFD,,,0.5697851777076721
151508,random,mean,0,FABP4,0.0,,0.8512497544288635
151508,random,mean,0,ADIRF,0.0,,0.9170956611633301
151508,random,mean,0,CCL21,,,0.1166377067565918
151508,random,mean,0,CD3D,,,0.005651223473250866
151508,random,mean,0,CLDN5,,,0.5655907988548279
151508,random,mean,0,IFIT2,,,0.21030229330062866
151508,random,mean,0,PTN,,,0.9778041243553162
151508,random,mean,0,S100B,0.0,,1.166709065437317
151508,random,mean,0,ACTG2,,,0.09315439313650131
151508,random,mean,0,FOS,0.0,,0.3047114610671997
151508,random,mean,0,ELN,,,0.3118053376674652
151508,random,mean,0,NRP1,0.0,,0.2438071370124817
151508,random,mean,0,MS4A4A,,,0.20216870307922363
151508,random,mean,0,LMOD1,0.0,,0.12549450993537903
151508,random,mean,0,HBA2,,,0.8253191113471985
151508,random,mean,0,PPP1R14A,,,0.797360360622406
151508,random,mean,0,SLITRK6,0.0,,0.09953968226909637
151508,random,mean,0,ADD3,,,0.6842085123062134
151508,random,mean,0,MIA,0.0,0.0,0.0030818162485957146
151508,random,mean,0,LTF,,,0.5377891659736633
151508,random,mean,0,CST7,,,0.0031417913269251585
151508,random,mean,0,TNF,,,0.09601479768753052
151508,random,mean,0,NEXN,,,0.007828871719539165
151508,random,mean,0,HBB,,,0.8762111067771912
151508,random,mean,0,SP140L,0.0,,0.11505476385354996
151508,random,mean,0,CDKN1C,,,0.405875563621521
151508,random,mean,0,ITGB1,,,0.5102759599685669
151508,random,mean,0,CLDN11,,,0.5827186107635498
151508,random,mean,0,STC2,,,0.16947348415851593
151508,random,mean,0,UGT8,,,0.3707738220691681
151508,random,mean,0,SOX6,0.0,,0.24053864181041718
151508,random,mean,0,PDLIM4,,,0.2690904438495636
151508,random,mean,0,SEPT4,,,0.8469644784927368
151508,random,mean,0,TLR7,0.0,,0.11265009641647339
151508,random,mean,0,EBF1,,,0.19834400713443756
151508,random,mean,0,FMO2,,,0.1294182986021042
151508,random,mean,0,RELN,,,0.46126788854599
151508,random,mean,0,VTI1A,,,0.2856884002685547
151509,random,mean,0,PTGDS,,,1.0220731496810913
151509,random,mean,0,CD74,,,1.0092071294784546
151509,random,mean,0,CCL19,,,0.15893055498600006
151509,random,mean,0,COL3A1,0.0,,0.6343371272087097
151509,random,mean,0,CXCL14,,,1.0899038314819336
151509,random,mean,0,ADH1B,,,0.38482192158699036
151509,random,mean,0,TFF3,,,0.8861529231071472
151509,random,mean,0,POSTN,,,0.4863148033618927
151509,random,mean,0,AQP1,0.0,,0.3117682635784149
151509,random,mean,0,ISG15,,,0.7916711568832397
151509,random,mean,0,FDCSP,,,0.007178704719990492
151509,random,mean,0,CFD,,,0.5267489552497864
151509,random,mean,0,FABP4,,,0.7483896017074585
151509,random,mean,0,ADIRF,,,0.8773408532142639
151509,random,mean,0,CCL21,,,0.1488698273897171
151509,random,mean,0,CD3D,,,0.005651223007589579
151509,random,mean,0,CLDN5,,,0.6124880313873291
151509,random,mean,0,IFIT2,,,0.2133740484714508
151509,random,mean,0,PTN,,,0.9915656447410583
151509,random,mean,0,S100B,,,1.12073814868927
151509,random,mean,0,ACTG2,,,0.10170469433069229
151509,random,mean,0,FOS,,,0.4615826904773712
151509,random,mean,0,ELN,,,0.31011468172073364
151509,random,mean,0,NRP1,0.0,,0.29238998889923096
151509,random,mean,0,MS4A4A,,,0.10597556829452515
151509,random,mean,0,LMOD1,,,0.08585994690656662
151509,random,mean,0,HBA2,,,0.7580042481422424
