slide,split,model,seed,gene,pearson,spearman,rmse
mel1_rep2,random,mean,0,ENSG00000188536,,,0.6014323830604553
mel1_rep2,random,mean,0,ENSG00000167641,,,0.4779508709907532
mel1_rep2,random,mean,0,ENSG00000184564,0.0,0.0,0.04024291783571243
mel1_rep2,random,mean,0,ENSG00000148700,,,0.5083043575286865
mel1_rep2,random,mean,0,ENSG00000261857,,,1.6868265867233276
mel1_rep2,random,mean,0,ENSG00000012223,,,0.3647594749927521
mel1_rep2,random,mean,0,ENSG00000077984,0.0,,0.18475063145160675
mel1_rep2,random,mean,0,ENSG00000232810,0.0,0.0,0.024384966120123863
mel1_rep2,random,mean,0,ENSG00000162614,0.0,,0.4251604974269867
mel1_rep2,random,mean,0,ENSG00000244734,,,0.037976209074258804
mel1_rep2,random,mean,0,ENSG00000185404,,,0.2267206609249115
mel1_rep2,random,mean,0,ENSG00000129757,,,0.18349237740039825
mel1_rep2,random,mean,0,ENSG00000150093,0.0,,0.2940872311592102
mel1_rep2,random,mean,0,ENSG00000013297,,,0.01877102255821228
mel1_rep2,random,mean,0,ENSG00000113739,,,0.02722606249153614
mel1_rep2,random,mean,0,ENSG00000174607,,,0.011735105887055397
mel1_rep2,random,mean,0,ENSG00000110693,,,0.08720722049474716
mel1_rep2,random,mean,0,ENSG00000131435,,,0.19195254147052765
mel1_rep2,random,mean,0,ENSG00000108387,,,0.24854455888271332
mel1_rep2,random,mean,0,ENSG00000196664,,,0.030007855966687202
mel1_rep2,random,mean,0,ENSG00000164330,0.0,,0.3167615532875061
mel1_rep2,random,mean,0,ENSG00000094963,0.0,0.0,0.028358634561300278
mel1_rep2,random,mean,0,ENSG00000189056,,,0.014197906479239464
mel1_rep2,random,mean,0,ENSG00000151532,,,0.06128552183508873
mel2_rep1,random,mean,0,ENSG00000107317,,,0.8294029235839844
mel2_rep1,random,mean,0,ENSG00000019582,,,1.1783515214920044
mel2_rep1,random,mean,0,ENSG00000172724,,,1.1605777740478516
mel2_rep1,random,mean,0,ENSG00000168542,,,1.1046353578567505
mel2_rep1,random,mean,0,ENSG00000145824,,,0.6813639402389526
mel2_rep1,random,mean,0,ENSG00000196616,,,0.38733527064323425
mel2_rep1,random,mean,0,ENSG00000160180,,,0.355193555355072
mel2_rep1,random,mean,0,ENSG00000133110,,,1.0130194425582886
mel2_rep1,random,mean,0,ENSG00000240583,,,0.8411495685577393
mel2_rep1,random,mean,0,ENSG00000187608,,,1.117742896080017
mel2_rep1,random,mean,0,ENSG00000181617,,,0.35072457790374756
mel2_rep1,random,mean,0,ENSG00000197766,,,0.6416060924530029
mel2_rep1,random,mean,0,ENSG00000170323,,,0.028944987803697586
mel2_rep1,random,mean,0,ENSG00000148671,,,0.357786625623703
mel2_rep1,random,mean,0,ENSG00000137077,,,1.511597752571106
mel2_rep1,random,mean,0,ENSG00000167286,,,0.6759107112884521
mel2_rep1,random,mean,0,ENSG00000184113,,,0.6465821266174316
mel2_rep1,random,mean,0,ENSG00000119922,,,0.447218120098114
mel2_rep1,random,mean,0,ENSG00000105894,0.0,,0.6027483940124512
mel2_rep1,random,mean,0,ENSG00000160307,,,1.0774897336959839
mel2_rep1,random,mean,0,ENSG00000163017,0.0,0.0,0.07590486109256744
mel2_rep1,random,mean,0,ENSG00000170345,,,0.9894756078720093
mel2_rep1,random,mean,0,ENSG00000049540,0.0,,0.3684634566307068
mel2_rep1,random,mean,0,ENSG00000099250,0.0,,0.7328293323516846
mel2_rep1,random,mean,0,ENSG00000110079,,,0.5252233743667603
mel2_rep1,random,mean,0,ENSG00000163431,,,0.13146266341209412
mel2_rep1,random,mean,0,ENSG00000188536,,,0.2787136435508728
mel2_rep1,random,mean,0,ENSG00000167641,,,0.2328004390001297
mel2_rep1,random,mean,0,ENSG00000184564,0.0,0.0,0.04024291783571243
mel2_rep1,random,mean,0,ENSG00000148700,,,0.6270724534988403
mel2_rep1,random,mean,0,ENSG00000261857,,,1.304196834564209
mel2_rep1,random,mean,0,ENSG00000012223,,,0.011304276995360851
mel2_rep1,random,mean,0,ENSG00000077984,0.0,,0.4323827922344208
mel2_rep1,random,mean,0,ENSG00000232810,,,0.024384967982769012
mel2_rep1,random,mean,0,ENSG00000162614,0.0,,0.29885590076446533
mel2_rep1,random,mean,0,ENSG00000244734,,,0.037976209074258804
mel2_rep1,random,mean,0,ENSG00000185404,,,0.5279463529586792
mel2_rep1,random,mean,0,ENSG00000129757,0.0,,0.36181458830833435
mel2_rep1,random,mean,0,ENSG00000150093,0.0,,0.6561440825462341
mel2_rep1,random,mean,0,ENSG00000013297,,,0.17661026120185852
mel2_rep1,random,mean,0,ENSG00000113739,,,0.02722606249153614
mel2_rep1,random,mean,0,ENSG00000174607,,,0.011735105887055397
mel2_rep1,random,mean,0,ENSG00000110693,,,0.47996506094932556
mel2_rep1,random,mean,0,ENSG00000131435,,,0.19195254147052765
mel2_rep1,random,mean,0,ENSG00000108387,0.0,,0.43094706535339355
mel2_rep1,random,mean,0,ENSG00000196664,,,0.3631211221218109
mel2_rep1,random,mean,0,ENSG00000164330,,,0.05760086700320244
mel2_rep1,random,mean,0,ENSG00000094963,,,0.30218422412872314
mel2_rep1,random,mean,0,ENSG00000189056,0.0,,0.4282781779766083
mel2_rep1,random,mean,0,ENSG00000151532,,,0.3664303719997406
mel2_rep2,random,mean,0,ENSG00000107317,0.0,,0.8226481080055237
mel2_rep2,random,mean,0,ENSG00000019582,0.0,,1.1489856243133545
mel2_rep2,random,mean,0,ENSG00000172724,0.0,,0.7359448075294495
