split,model,seed,mean_pearson,median_pearson,sd_pearson,mean_spearman,median_spearman,mean_rmse,n_genes
random,mean,0,0.0,0.0,0.0,,,0.5084289036877453,50
random,pca_ridge,0,0.32925635911907897,0.2425314956894276,0.25335670070949357,0.29145044751394056,0.21754522669414902,0.4122393625974655,50
random,spatial_knn,0,-0.03552149768350929,-0.03839784913287634,0.06779672241045757,-0.029077241018554537,-0.02738520493539383,0.5482974607997635,50
matched_hop0,mean,0,0.0,0.0,0.0,,,0.5292964334785938,50
matched_hop0,pca_ridge,0,0.30070858299515524,0.19595706149004571,0.26060215509531026,0.27071043026362973,0.18064543491794233,0.4370346365123987,50
matched_hop0,spatial_knn,0,0.032880517929376935,0.022083490170365608,0.05624185333300088,0.02441092359220065,0.017974164776666135,0.5443678167003155,50
patient_mel1_,mean,0,0.0,0.0,0.0,,,0.6099511153995991,50
patient_mel1_,pca_ridge,0,0.14857806967613643,0.11034983638184709,0.18249364705217225,0.16794090100070402,0.11766863126024424,0.5497993397712707,50
patient_mel1_,spatial_knn,0,0.005794587475651755,0.0007102992353184809,0.0421443761628182,0.006509513248584839,0.0006647493519042842,0.6343397882958889,50
patient_mel2_,mean,0,0.0,0.0,0.0,,,0.5773318545520305,50
patient_mel2_,pca_ridge,0,0.16919252162161516,0.12310049331908957,0.2027128708023627,0.16633890266265441,0.12577430675147147,0.529729327261448,50
patient_mel2_,spatial_knn,0,0.002354887184173798,-0.0005926433887282344,0.0486402623791249,-0.004423153681137277,-0.005049730277359745,0.599924916437285,50
patient_mel3_,mean,0,0.0,0.0,0.0,0.0,0.0,0.5074037280865014,50
patient_mel3_,pca_ridge,0,0.04911728766574779,0.0224347298585097,0.1096649044697912,0.042622169870355206,0.036848967248994294,0.500791488699615,50
patient_mel3_,spatial_knn,0,-0.003967066297569061,-0.0027050894747225555,0.03777528178260689,-0.0028464627196887944,-0.0010988914408773865,0.5530005214676245,50
patient_mel4_,mean,0,0.0,0.0,0.0,,,0.37885568983852863,50
patient_mel4_,pca_ridge,0,0.08439168110609652,0.04806724300619379,0.13581012145353077,0.08710789551158138,0.053235751440389625,0.36435863383114336,50
patient_mel4_,spatial_knn,0,0.015377029005135866,0.004652795350899025,0.05841384324213525,0.015889176722041782,0.019252528516487746,0.4219870656739002,50
random,mean,1,0.0,0.0,0.0,,,0.5223593002557755,50
random,pca_ridge,1,0.2981807557267358,0.2083066141001811,0.27053947133944184,0.2736040850589902,0.22000298511946306,0.43114652872085574,50
random,spatial_knn,1,-0.013055230250347494,-0.01992377821738637,0.08669449223224852,-0.014039819909642124,-0.005577466563953232,0.5542065157036862,50
matched_hop0,mean,1,0.0,0.0,0.0,,,0.5292964334785938,50
matched_hop0,pca_ridge,1,0.2962555940297786,0.1936653983672011,0.2634823313692338,0.26688463946873386,0.18088163703320953,0.43735658265650273,50
matched_hop0,spatial_knn,1,0.032880517929376935,0.022083490170365608,0.05624185333300088,0.02441092359220065,0.017974164776666135,0.5443678167003155,50
random,mean,2,0.0,0.0,0.0,,,0.5085165376402437,50
random,pca_ridge,2,0.31772595386851765,0.2543466386210863,0.26571876518812654,0.2891795365459148,0.23389134506207315,0.4117969308048487,50
random,spatial_knn,2,-0.02912965286732741,-0.02202245191069745,0.08102454081974311,-0.03216096171720783,-0.03081359867949147,0.5472339823814384,50
matched_hop0,mean,2,0.0,0.0,0.0,,,0.5291836929321289,50
matched_hop0,pca_ridge,2,0.3006526594625233,0.22173156120749365,0.2596683940715978,0.2727157410740043,0.19345470811333368,0.43718453012406827,50
matched_hop0,spatial_knn,2,0.022900787488056854,0.01736506928621865,0.05720276788498298,0.019626664630833932,0.020863061339710175,0.5461434790786144,50
random,mean,3,0.0,0.0,0.0,,,0.5023007526248694,50
random,pca_ridge,3,0.31836691924529986,0.2083240580557758,0.2530860412694676,0.2779981952151501,0.21786074413219592,0.4093146543204784,50
random,spatial_knn,3,-0.01216933660235582,-0.017491821870806414,0.07856388570102296,-0.010117143423438642,-0.005656789512077854,0.5359497373109438,50
matched_hop0,mean,3,0.0,0.0,0.0,,,0.5292964334785938,50
matched_hop0,pca_ridge,3,0.2989650927449231,0.21253829679144087,0.2606342688738573,0.2685868915069164,0.1860499505142421,0.4374435916543007,50
matched_hop0,spatial_knn,3,0.032880517929376935,0.022083490170365608,0.05624185333300088,0.02441092359220065,0.017974164776666135,0.5443678167003155,50
random,mean,4,0.0,0.0,0.0,,,0.5221873913705349,50
random,pca_ridge,4,0.3193903155934661,0.19171907362558538,0.27235314649276116,0.2981467067928791,0.19995159265511359,0.4218088145554066,50
random,spatial_knn,4,0.012276389886405576,0.0006695811749538839,0.08232323481741219,0.011251027758745773,0.009926248172960485,0.5503075867664419,50
matched_hop0,mean,4,0.0,0.0,0.0,,,0.5292964334785938,50
matched_hop0,pca_ridge,4,0.29864105477162944,0.20017726738228353,0.26211323065763364,0.2681510465343573,0.18387326758903688,0.43713276855647565,50
matched_hop0,spatial_knn,4,0.032880517929376935,0.022083490170365608,0.05624185333300088,0.02441092359220065,0.017974164776666135,0.5443678167003155,50
