split,model,seed,gene,pearson,spearman,rmse
random,mean,0,ENSG00000107317,,,0.776859700679779
random,mean,0,ENSG00000019582,0.0,,1.268693447113037
random,mean,0,ENSG00000172724,,,0.7672237753868103
random,mean,0,ENSG00000168542,,,1.1843183040618896
random,mean,0,ENSG00000145824,,,0.5334126353263855
random,mean,0,ENSG00000196616,0.0,,0.28842025995254517
random,mean,0,ENSG00000160180,0.0,,0.26925361156463623
random,mean,0,ENSG00000133110,,,1.1318180561065674
random,mean,0,ENSG00000240583,0.0,,1.2092640399932861
random,mean,0,ENSG00000187608,,,0.9358557462692261
random,mean,0,ENSG00000181617,,,0.4874130189418793
random,mean,0,ENSG00000197766,,,0.6651737689971924
random,mean,0,ENSG00000170323,,,0.20210832357406616
random,mean,0,ENSG00000148671,,,0.4821077585220337
random,mean,0,ENSG00000137077,,,1.0655168294906616
random,mean,0,ENSG00000167286,,,0.43385228514671326
random,mean,0,ENSG00000184113,0.0,,0.6353859901428223
random,mean,0,ENSG00000119922,,,0.3300962746143341
random,mean,0,ENSG00000105894,,,1.2571736574172974
random,mean,0,ENSG00000160307,,,1.5248875617980957
random,mean,0,ENSG00000163017,0.0,,0.3705916702747345
random,mean,0,ENSG00000170345,0.0,,0.7769714593887329
random,mean,0,ENSG00000049540,0.0,,0.4548986256122589
random,mean,0,ENSG00000099250,,,0.5233283042907715
random,mean,0,ENSG00000110079,,,0.33853980898857117
random,mean,0,ENSG00000163431,,,0.27899888157844543
random,mean,0,ENSG00000188536,,,0.24951249361038208
random,mean,0,ENSG00000167641,,,0.28256088495254517
random,mean,0,ENSG00000184564,0.0,,0.1304401159286499
random,mean,0,ENSG00000148700,,,0.5729398131370544
random,mean,0,ENSG00000261857,0.0,,1.277490258216858
random,mean,0,ENSG00000012223,,,0.13692651689052582
random,mean,0,ENSG00000077984,0.0,,0.3492183983325958
random,mean,0,ENSG00000232810,,,0.11359784007072449
random,mean,0,ENSG00000162614,,,0.26869022846221924
random,mean,0,ENSG00000244734,0.0,,0.05878664553165436
random,mean,0,ENSG00000185404,0.0,,0.39236944913864136
random,mean,0,ENSG00000129757,,,0.3522847592830658
random,mean,0,ENSG00000150093,0.0,,0.45286786556243896
random,mean,0,ENSG00000013297,,,0.16881127655506134
random,mean,0,ENSG00000113739,0.0,,0.08747662603855133
random,mean,0,ENSG00000174607,,,0.011735104955732822
random,mean,0,ENSG00000110693,,,0.33323046565055847
random,mean,0,ENSG00000131435,,,0.5901066064834595
random,mean,0,ENSG00000108387,,,0.3393923342227936
random,mean,0,ENSG00000196664,,,0.1848752796649933
random,mean,0,ENSG00000164330,,,0.25645941495895386
random,mean,0,ENSG00000094963,,,0.16358336806297302
random,mean,0,ENSG00000189056,,,0.2110382616519928
random,mean,0,ENSG00000151532,,,0.24488738179206848
